date           rtn
20010102      -0.006452
20010103      -0.022078
20010104      -0.091633
20010105       0.005848
20010108      -0.010174
20010109       0.022026
20010110      -0.017184
20010111      -0.011747
20010112       0.035661
20010116       0.032999
20010117      -0.016667
20010118       0.018362
20010119      -0.022191
20010122       0.002837
20010123      -0.004243
20010124      -0.017045
20010125       0.054913
20010126       0.012329
20010129      -0.015968
20010130      -0.008801
20010131      -0.004218
20010201       0.025412
20010202      -0.010652
20010205       0.018018
20010206       0.018131
20010207       0.008268
20010208       0.015349
20010209       0.002278
20010212       0.022727
20010213      -0.037172
20010214      -0.005245
20010215       0.011390
20010216       0.011470
20010220       0.003505
20010221       0.027327
20010222      -0.001000
20010223      -0.021021
20010226       0.006135
20010227      -0.011789
20010228       0.007610
20010301       0.017146
20010302      -0.003010
20010305      -0.014291
20010306      -0.019400
20010307      -0.018534
20010308       0.029069
20010309      -0.015258
20010312      -0.011935
20010313       0.014622
20010314      -0.033417
20010315       0.000000
20010316      -0.027658
20010319      -0.005556
20010320      -0.032402
20010321       0.016166
20010322      -0.011818
20010323       0.000000
20010326       0.017709
20010327       0.011977
20010328       0.016749
20010329       0.021305
20010330       0.014839
20010402      -0.016741
20010403      -0.031897
20010404       0.011354
20010405       0.036760
20010406       0.003822
20010409       0.024112
20010410       0.000000
20010411      -0.025306
20010412      -0.028091
20010416       0.019050
20010417       0.012033
20010418      -0.004459
20010419      -0.024952
20010420      -0.013780
20010423      -0.012198
20010424      -0.002470
20010425       0.024308
20010426      -0.014283
20010427       0.024967
20010430       0.008699
20010501      -0.012505
20010502      -0.009389
20010503       0.009698
20010504       0.017027
20010507       0.008800
20010508       0.014894
20010509       0.013836
20010510      -0.005376
20010511       0.024116
20010514       0.011977
20010515       0.033099
20010516       0.044660
20010517      -0.001859
20010518      -0.012663
20010521       0.004527
20010522      -0.005820
20010523      -0.000944
20010524      -0.018148
20010525      -0.010397
20010529      -0.000973
20010530       0.002532
20010531       0.009713
20010601      -0.006926
20010604       0.004262
20010605       0.019483
20010606      -0.021760
20010607      -0.000967
20010608      -0.002517
20010611      -0.021933
20010612       0.006549
20010613       0.001183
20010614      -0.005514
20010615       0.001188
20010618       0.010680
20010619       0.003523
20010620       0.018916
20010621       0.014354
20010622      -0.018491
20010625      -0.003076
20010626      -0.007520
20010627      -0.028560
20010628       0.012200
20010629      -0.051571
20010702       0.028542
20010703      -0.002025
20010705      -0.006698
20010706      -0.033306
20010709       0.012471
20010710       0.010438
20010711       0.041116
20010712      -0.023515
20010713       0.012245
20010716       0.003024
20010717       0.008040
20010718       0.027916
20010719       0.000970
20010720       0.013178
20010723      -0.016641
20010724      -0.002529
20010725       0.004290
20010726       0.006796
20010727      -0.005979
20010730       0.014552
20010731       0.024861
20010801      -0.009144
20010802      -0.020716
20010803       0.005000
20010806      -0.010524
20010807       0.017018
20010808      -0.013691
20010809      -0.005784
20010810       0.013768
20010813       0.005165
20010814      -0.004948
20010815       0.016447
20010816      -0.003387
20010817      -0.012837
20010820       0.013387
20010821      -0.004718
20010822       0.003982
20010823      -0.012465
20010824       0.004016
20010827      -0.008381
20010828      -0.012678
20010829      -0.007782
20010830      -0.013333
20010831      -0.012321
20010904       0.018109
20010905       0.020356
20010906      -0.032346
20010907      -0.021217
20010910       0.012883
20010917       0.020190
20010918      -0.002375
20010919      -0.016068
20010920      -0.022379
20010921      -0.029697
20010924       0.004251
20010925       0.025397
20010926       0.029928
20010927       0.021844
20010928       0.016866
20011001       0.018129
20011002       0.011555
20011003      -0.036517
20011004       0.004082
20011005       0.006194
20011008      -0.004040
20011009      -0.014294
20011010       0.031746
20011011      -0.026971
20011012       0.017444
20011015       0.020998
20011016       0.009057
20011017      -0.004862
20011018      -0.012401
20011019       0.009323
20011022       0.028841
20011023      -0.013192
20011024       0.007055
20011025       0.005715
20011026      -0.004583
20011029      -0.004972
20011030      -0.004627
20011031      -0.014875
20011101       0.017743
20011102       0.009829
20011105      -0.011938
20011106       0.008364
20011107      -0.009770
20011108      -0.003537
20011109      -0.006165
20011112       0.007707
20011113      -0.009140
20011114      -0.017696
20011115       0.013798
20011116      -0.016446
20011119       0.001922
20011120       0.015538
20011121       0.015300
20011123       0.003721
20011126       0.001854
20011127      -0.004995
20011128       0.005764
20011129       0.008504
20011130       0.008249
20011203       0.008364
20011204      -0.006671
20011205       0.001271
20011206      -0.004351
20011207       0.004006
20011210       0.006529
20011211      -0.024505
20011212      -0.020318
20011213       0.002828
20011214       0.022749
20011217      -0.007353
20011218      -0.002778
20011219       0.018013
20011220       0.014228
20011221       0.017806
20011224      -0.002297
20011226       0.005491
20011227      -0.004756
20011228      -0.000354
20011231      -0.012925
20020102       0.001614
20020103       0.000895
20020104      -0.001789
20020107      -0.006990
20020108      -0.006498
