 BMY BA BK BAC BHI BAX BRB
-0.032967 -0.060606 -0.003398 0.019074 0.019549 0.014862 0.019718
-0.061713 0.009073 0.018182 0.068182 -0.030973 -0.036262 -0.033149
-0.056127 -0.024975 0.004464 0.031289 -0.027397 -0.05644 -0.014286
0.019822 -0.036885 -0.03 -0.072816 -0.007825 0.018405 -0.017391
0.011662 0.004255 -0.004582 0.010471 0.009464 0.024096 -0.001475
0.023055 -0.001059 -0.021864 -0.025907 0.028125 0.010294 -0.013294
-0.00939 0.02439 0.004706 0.033245 0.006079 -0.010917 0.005988
-0.021801 -0.020704 0.002342 0.018018 0.021148 -0.003679 -0.022321
0.041667 0.02537 -0.058411 -0.007585 0.002959 -0.014032 0.00761
0.011163 0.006186 0.029777 0.038217 0.020649 0.016479 0.024169
-0.028519 -0.036885 -0.019422 -0.026994 -0.050578 -0.020634 0.00885
0.02178 -0.023404 -0.023428 -0.01261 -0.050228 0.023326 0.005848
-0.020389 -0.029412 -0.042929 0.005109 0.020833 -0.022794 -0.017442
0.013245 0.005612 0.064644 0.024142 0.015699 0.045899 0.002959
-0.010271 0.026786 0.02974 0 0.015456 -0.021583 -0.007375
-0.020755 -0.001087 0.002407 0.013648 0.024353 -0.019853 -0.004458
-0.007707 0.031556 0.007203 0.008568 0.028232 0.03901 0.004478
-0.004854 -0.020042 0.01907 0.032767 -0.015896 0.011552 -0.001486
-0.029854 -0.0276 0.011275 0.015652 -0.037416 0.001913 0.002976
0.002896 -0.005491 0.022391 0.026842 0.010495 -0.002622 0.01632
-0.007059 0.041852 -0.009412 -0.029746 -0.001208 0.004343 -0.00146
0.019874 -0.033846 -0.010049 -0.010033 -0.015357 0.001138 0.010234
0.023289 0.005839 -0.008859 0.006006 0.029557 -0.003751 0.013025
-0.00449 0.018997 0.023464 -0.006343 0.028708 0.002168 -0.015714
-0.011664 -0.020715 -0.022016 -0.043184 0.027674 0.001252 -0.005806
0.022502 0.015688 0.003163 -0.02865 -0.015388 0 -0.008759
-0.004463 0.001044 -0.013168 -0.015152 -0.004597 0.003411 0.022091
-0.006647 -0.002956 0.013907 0.015385 0.016162 -0.002606 -0.007205
0.014006 0.030171 0.006487 0.011313 -0.014088 0.016814 0.005806
-0.032535 0.027933 -0.005157 0.003596 -0.000461 -0.00838 0.018038
-0.012532 -0.002141 -0.004073 0.011146 -0.02006 -0.010704 -0.003544
0.016867 -0.007262 -0.001859 0.001772 -0.054824 -0.020843 -0.004267
-0.004897 -0.00266 0.005587 0.010022 0.017177 0.008957 -0.002857
-0.003651 0.031005 -0.061852 -0.044358 0.000489 0.028361 -0.017192
-0.004143 -0.026677 -0.006119 -0.027891 -0.017368 0.028027 0.007289
-0.012 0.01794 -0.001986 0.010471 -0.030371 -0.013195 0.001447
0.003077 0.005385 0.009154 0.018446 -0.001797 -0.012045 -0.011561
0.0268 0.018666 0.007691 0.037444 0.00823 0.01085 0.026316
