COP CVX CVS CAT CL CPB C CSCO COF COST CMCSA
0.003297 0.017765 -0.045881 -0.021136 -0.031758 0.00361 -0.011016 -0.129085 -0.058879 0.031299 -0.033283
-0.026287 -0.038545 -0.055738 0.004049 -0.03824 -0.033094 0.087871 0.24015 0.081736 0.036419 0.042254
-0.012373 -0.02118 -0.055556 0.047043 -0.069706 -0.054307 0.013652 0.013616 0 0.021962 -0.015015
0.018223 0.007728 0.01348 -0.057766 0.030043 0.029703 -0.035915 -0.125373 -0.037313 -0.053009 -0.007622
0.001119 -0.002301 0.024184 -0.002725 0.021875 0.007692 -0.005821 -0.002133 -0.028101 0.015129 0
-0.015642 -0.013067 0.024793 -0.001366 0.018519 0.024809 -0.022248 0.015819 -0.030907 -0.002981 0.036866
-0.018161 -0.001558 0.031106 -0.01368 -0.013178 -0.013035 0.033533 -0.023569 0.036008 -0.026906 -0.013333
0.010405 0.016381 -0.035754 0.008322 -0.016903 -0.020755 0.019699 0.07931 0.010924 0.015361 0.022523
0.009153 -0.00614 -0.008111 -0.038514 -0.00447 -0.011561 -0.034091 -0.027157 -0.000982 0.04236 0.020191
0.030612 0.000772 0.03271 0.02289 0 0.040936 0.029412 0.011494 0.017699 0.011611 0.027708
-0.024202 -0.009259 -0.007919 0.006993 -0.023316 0.009363 -0.016 0.012987 0.022222 -0.04878 -0.02521
-0.005637 -0.010125 0.019384 -0.064667 0.005836 -0.016698 0.00813 0.073718 -0.039698 0 0.010057
0.002268 -0.001574 -0.024698 -0.026946 -0.004044 -0.016981 0.002304 -0.035821 -0.03248 -0.024133 0.008535
0.021493 0.00394 0.005741 0.006154 0.002295 0.001919 -0.009195 0.026316 0.015259 0.044822 -0.015515
0.009967 -0.000785 0.019406 0.018349 0.016731 -0.015326 0.018561 0.028658 0.01002 0.005917 -0.025788
-0.004386 0.003928 0.022396 0.013514 0.009137 -0.015564 0.017084 -0.001466 0.040675 0.010294 -0.008824
0.023128 0.041471 -0.001095 0.026667 0.004303 0.007905 -0.008959 -0.076358 -0.017159 0.005822 -0.019288
-0.020452 -0.006762 0.023026 -0.001443 -0.022965 0.001961 -0.00226 -0.023847 0.018429 -0.044863 0.004539
0.006945 -0.013616 -0.011361 -0.003468 -0.011051 0.016047 0.018347 -0.029316 0.024762 0.068182 0.03012
