EMC DELL DD DOW EXC RTE DIS DVN
-0.183271 0.003584 -0.006468 -0.049488 -0.033186 -0.013294 -0.034557 -0.032311
0.248562 0.142857 -0.001302 0.010772 -0.072628 -0.02994 0.111857 -0.046441
0.042396 -0.040625 0.027379 0.046181 -0.04162 -0.08642 0.028169 -0.043548
-0.089302 -0.009772 -0.02665 -0.056027 -0.010443 0.011824 -0.013699 0.076008
-0.04466 0.006579 0.007823 0.010791 0.033836 0.010017 -0.043651 0.013471
0.036585 0.03268 -0.03881 -0.064057 0.012638 -0.008264 0 -0.030334
0.077451 0.079114 0.009421 -0.022814 -0.052 -0.006667 0.008299 0.022496
0.064604 0.070381 -0.04 -0.023346 -0.043713 -0.088926 -0.028807 0.014954
-0.058974 -0.030137 -0.040278 -0.005976 0.005295 0.034991 0.069915 -0.032345
0.015441 -0.028249 0.036179 0.032064 -0.025632 -0.021352 0.047525 0.040252
0.034884 0.055233 -0.009777 -0.007767 0.054955 0.034545 0.009452 -0.026077
0.050994 0.066116 -0.012694 0.003914 0.001708 0.005272 -0.007491 -0.049577
0.01727 0.059432 -0.025714 -0.02729 0.012276 -0.013986 -0.013208 -0.00309
-0.010509 -0.004878 -0.007331 -0.008016 -0.000337 0.04078 -0.047801 0.016955
0.040033 0.034314 -0.005908 0.022222 0.012805 0.005111 -0.036145 0.018465
-0.001571 0.028436 -0.004458 0.011858 0.014806 -0.00339 0.016667 0.016194
-0.036979 -0.025346 0.002985 0.011719 0.012131 0.006803 -0.014344 0.025637
0.033497 0.002364 -0.025298 0.005792 -0.014739 -0.008446 -0.008316 -0.013005
0.010466 0.073113 0.001282 -0.012975 0.017754 -0.005111 0.033795 -0.033368
-0.01427 -0.010989 0.054891 0.036092 -0.012437 -0.000822 0.002596 -0.011683
-0.035048 -0.071111 0.01087 0.03003 -0.010304 -0.028791 -0.014563 -0.018449
0.021187 -0.007177 -0.010524 -0.002009 0.002809 -0.016375 0.034483 -0.018613
-0.069588 -0.028916 -0.023121 -0.009381 0.007581 0.023249 -0.02381 0.035887
-0.033795 -0.029777 0.035266 -0.011838 0.002944 0.003927 -0.010406 0.040926
0.00344 0.099744 -0.008459 -0.02366 0.002935 0.012015 0.038778 0.001897
-0.065857 -0.013953 -0.008762 0.032209 0.020325 0.005522 -0.019298 0.015318
-0.069213 -0.016509 -0.017213 -0.045765 0.020876 0.014553 0.036452 -0.005594
