GD GE F FDX GILD FCX GS GOOG 
-0.037660 -0.087353 0.037333 -0.044044 -0.106255 -0.029197 -0.062537 0
-0.028310 0.092857 0.033419 0.074869 0.041315 0.060150 0.152120 0
-0.049700 0.005229 0.072139 0.077935 -0.148178 -0.056738 -0.023810 0
-0.001803 -0.015605 -0.025522 -0.010167 -0.110266 0.000000 -0.043237 0
0.005420 -0.036988 -0.023810 -0.015522 -0.070513 0.045113 -0.013905 0
0.003594 -0.020576 0.031707 -0.019940 -0.005747 -0.007194 -0.015276 0
0.002686 0.001401 -0.007092 -0.008517 0.036994 0.014493 0.035800 0
-0.022321 0.041958 0.026190 -0.016941 0.015608 0.007143 0.018433 0
-0.012785 -0.018792 -0.020882 0.007282 0.047475 0.014184 -0.015837 0
0.015726 0.036936 0.028436 0.020482 0.093005 0.006993 0.011494 0
-0.023534 -0.014512 -0.009217 0.033058 -0.092042 0.006944 0.000000 0
0.016854 0.020080 0.011628 -0.051429 0.001056 0.172414 -0.021636 0
0.007366 -0.013123 -0.032184 -0.038313 0.005274 0.023529 0.031977 0
0.022852 -0.026596 0.030879 0.033074 0.037775 0.091954 0.019718 0
-0.008043 0.020492 -0.004608 0.039049 0.114004 0.000000 0.025414 0
0.007207 -0.008032 0.027778 -0.018674 -0.049694 -0.026316 0.016164 0
0.035778 -0.008097 0.011261 0.032350 0.002865 -0.005405 -0.036585 0
-0.008636 -0.028571 0.008463 0.007143 -0.019048 -0.032609 0.009906 0
-0.013240 -0.005490 0.010357 0.007321 0.071845 0.008539 0.010659 0
-0.001695 0.042136 0.000353 0.009312 -0.023551 0.019608 0.023380 0
0.004245 -0.005838 -0.003887 0.021152 0.004638 0.022727 -0.041055 0
-0.014793 0.005437 0.006385 -0.002424 -0.046168 0.071795 0.039121 0
-0.000715 0.001082 -0.012689 -0.021648 -0.021297 0.019139 -0.035871 0
-0.025472 0.033924 0.015709 -0.002484 -0.024728 0.003912 -0.016322 0
-0.011747 -0.005225 0.010193 -0.008601 0.068966 -0.014030 -0.028100 0
-0.021397 -0.013655 -0.051496 -0.016210 -0.014231 0.012648 -0.034419 0
0.024598 0.004047 0.027513 0.041077 -0.059673 0.000781 0.007129 0
-0.010818 -0.031396 -0.038915 -0.034106 0.032242 0.005460 0.016989 0
-0.005094 0.040517 0.032689 0.008078 0.106594 -0.012413 0.016241 0
0.027707 -0.007367 0.004317 0.023352 -0.030466 -0.012569 -0.032877 0
0.013187 -0.019084 -0.002149 -0.023490 -0.015712 -0.018297 -0.015581 0
-0.003471 0.037181 0.005025 0.033677 0.000939 0.021880 0.028297 0
0.024380 -0.020425 -0.014286 -0.011746 0.046904 -0.011895 -0.053172 0
-0.008500 0.014681 0.003985 -0.029379 0.005376 -0.036116 -0.054187 0
-0.002572 -0.008178 -0.001083 -0.029344 -0.057041 0.023314 -0.016667 0
-0.012606 -0.004228 -0.006142 -0.000238 -0.041588 0.087063 0.029661 0
0.006383 -0.019533 0.030534 -0.007619 0.090730 -0.015719 -0.011934 0
0.018884 0.038978 0.008818 -0.005518 0.056058 0.071483 0.023532 0
-0.013582 0.000417 -0.005944 0.006031 -0.015411 -0.006388 0.000407 0
-0.022088 -0.031250 -0.021808 -0.018465 0.040000 0.003571 -0.067012 0
-0.015840 -0.012688 0.014383 0.002199 -0.060201 -0.000712 -0.001526 0
-0.007452 -0.029188 -0.005317 0.022672 0.021352 0.000000 -0.002292 0
0.037538 0.015033 0.008553 0.012634 -0.064460 0.036325 0.008206 0
0.009117 0.007542 0.026148 0.015066 0.042831 -0.019244 0.034726 0
0.033558 0.012329 0.001377 0.001855 -0.046429 -0.001402 -0.004195 0
0.000971 -0.002392 0.043673 0.015046 0.013109 0.014035 -0.033702 0
-0.002634 -0.044909 -0.008237 0.001596 -0.007394 -0.006920 -0.051771 0
-0.039333 -0.096097 0.004983 -0.045993 -0.117318 -0.046690 -0.051839 0
0.009693 0.068939 -0.013554 0.002387 0.048523 -0.038012 0.060856 0
-0.005588 -0.030711 -0.038539 -0.019524 0.068410 -0.026596 -0.041138 0
-0.011383 0.001219 -0.003137 0.003400 -0.016949 -0.004684 0.048147 0
-0.010348 -0.011685 -0.005944 -0.012585 -0.074713 -0.023529 -0.004548 0
0.006480 0.012315 0.048540 0.027696 0.134576 0.016064 0.038721 0
-0.015950 -0.025547 -0.033210 -0.040067 -0.041971 0.000791 -0.042666 0
-0.026022 -0.026217 -0.019778 0.058385 -0.120000 0.000000 -0.023662 0
-0.017405 -0.033333 -0.015575 -0.036854 0.008658 -0.019747 0.010706 0
0.006837 0.060743 0.003236 -0.020960 0.019313 0.009670 0.045396 0
-0.012346 0.006001 0.039068 0.002738 0.082105 0.006385 -0.006347 0
-0.022812 0.041760 -0.030010 0.042205 -0.005837 0.031721 0.047736 0
-0.024624 -0.008590 -0.006401 0.000000 0.001957 -0.044581 -0.066845 0
0.015574 -0.003610 0.019685 -0.018104 0.003906 0.026549 0.009742 0
0.012752 0.011111 -0.012987 0.011160 0.011673 0.022727 -0.034052 0
0.028530 -0.001433 0.017425 -0.018234 -0.059615 -0.026820 -0.011046 0
-0.013637 -0.050718 -0.043341 -0.046921 -0.036810 -0.016535 -0.033864 0
0.001257 -0.002016 0.043844 0.015385 -0.008493 0.080064 -0.046489 0
0.015220 0.063131 -0.007700 -0.015909 0.089936 0.007413 0.109248 0
0.002318 -0.022090 -0.019400 -0.037978 0.011788 -0.034584 -0.020930 0
0.013261 0.020160 0.043165 0.023473 0.050408 0.036585 -0.002375 0
0.039416 0.043571 -0.001379 0.013813 0.073351 0.007353 0.045357 0
-0.005146 -0.012777 -0.026934 0.025450 -0.015156 0.005839 0.039745 0
0.024826 0.033048 0.029099 -0.002256 0.078903 0.012337 0.029573 0
-0.012401 -0.001119 0.006207 -0.006533 -0.019710 0.016487 -0.023617 0
-0.010074 0.018141 -0.010281 0.011887 0.038095 0.003526 0.014382 0
0.039675 0.053454 0.063366 0.036991 0.044852 -0.016163 0.070354 0
0.042701 0.012946 -0.013351 0.044830 0.026098 -0.007143 -0.019669 0
-0.021769 -0.008452 -0.009901 0.003460 -0.039220 -0.000719 -0.019552 0
0.000000 -0.018711 0.002000 -0.025977 -0.051460 0.000720 -0.028225 0
0.030737 -0.025636 -0.012974 -0.013217 -0.038341 0.007194 -0.016781 0
-0.018621 0.039574 -0.029323 -0.018417 0.064280 -0.001429 0.015536 0
0.038086 0.031165 0.013889 0.006335 0.062436 0.025036 -0.003555 0
0.013245 0.013185 0.014041 0.028571 0.093308 -0.005583 0.004865 0
0.007582 -0.028428 0.005741 -0.009652 0.074594 -0.006316 -0.019798 0
0.008044 0.007830 -0.040027 -0.005705 0.022662 0.019774 0.017014 0
0.015959 0.003885 0.033569 0.021994 -0.013376 -0.002770 0.057744 0
-0.003547 -0.012220 -0.018803 -0.032749 -0.032578 -0.027778 -0.020408 0
-0.001780 0.029485 0.013240 -0.001693 0.057101 0.000000 0.012500 0
-0.006622 0.000601 -0.021664 -0.024225 0.012070 -0.007143 -0.012243 0
0.003846 -0.009608 -0.010193 -0.045432 -0.020919 0.005036 -0.007916 0
-0.001916 -0.001010 -0.002841 0.016645 -0.009585 0.011453 -0.006194 0
-0.003199 0.008092 0.012108 0.002814 -0.021976 0.026185 -0.001585 0
0.004493 -0.016456 -0.021112 -0.020153 0.004947 -0.008276 -0.017564 0
0.005367 0.014691 -0.000719 -0.005467 -0.015180 0.008345 0.013463 0
0.010169 0.008446 0.005755 0.001309 -0.031035 0.000000 0.007970 0
0.006921 0.041077 0.004650 0.026405 0.134136 0.062759 0.053769 0
0.023244 -0.001915 -0.018868 0.025217 0.098180 0.015574 -0.020010 0
0.001099 0.016887 -0.015602 0.006460 -0.068864 0.035144 -0.007146 0
0.011224 0.007737 -0.017693 0.002469 0.109731 0.048148 0.047815 0
0.009169 -0.013483 -0.025141 -0.002216 -0.033406 -0.030624 0.013641 0
