HON IBM JNJ HNZ HAL HPQ JPM INTC HD
-0.064729 -0.002206 -0.029149 -0.014493 0.015517 -0.041584 -0.031637 0.033264 -0.002736
0.087571 0.115696 -0.031863 -0.040107 -0.013582 0.126033 0.157841 0.102113 0.128944
-0.001299 -0.015192 -0.021519 -0.038997 -0.003442 0.016514 0.02716 -0.01278 0.00486
-0.023407 0.008719 0.012937 0.028986 -0.003454 -0.115523 -0.058894 -0.051318 -0.037485
-0.026631 -0.004654 -0.001277 -0.002817 0.013865 0.02449 0.006386 -0.003899 -0.041457
-0.021888 -0.010688 0.007033 0.014124 0.041026 0.005976 -0.011421 0.009785 -0.038008
0.011189 0.009453 -0.026032 -0.012535 0.032841 0.005941 0.046213 0.023256 0.03406
0.048409 0.002676 -0.035854 -0.03385 0.020668 0.019685 0.062577 0.011364 0.034256
-0.01847 0.001334 0.022989 -0.013139 -0.001558 -0.052124 -0.015012 -0.037453 0.001274
0.02957 -0.011326 -0.003966 0.031065 0.01248 -0.010183 -0.002345 -0.023346 -0.005089
0.002611 0.042453 -0.026543 -0.010043 -0.038521 0.041152 -0.003525 -0.027888 -0.051151
0.018229 0.120233 0.025222 0.017391 -0.036859 0.096838 -0.029481 0.055328 -0.045822
-0.01023 0.027121 0.00133 -0.005698 -0.011647 0.030631 -0.017011 0.042718 -0.073446
-0.027132 -0.024157 0.001992 0.004298 0.005051 -0.034965 0.00618 -0.005587 0.067073
0.017264 0.004606 -0.01723 -0.007133 0.035176 -0.005435 0.015971 0.059925 0.022857
-0.010444 0.012607 -0.022927 0 0.030744 0.020036 0.03023 0.024735 0.006983
-0.001319 0.00283 0.013112 0.001437 0.045526 -0.016071 -0.003521 -0.048276 0.020804
-0.018494 0.031038 0.002044 0.001435 -0.021021 0 0.021201 0.039855 -0.027174
-0.013728 0.00694 -0.003671 0.00745 -0.020859 0.0898 0.017209 0.033101 0.01676
0.034279 0.014176 0 -0.011832 0.009022 0.007194 0.015602 -0.001686 0.010989
-0.002533 -0.039533 0.016703 0.008289 0.0231 -0.025132 -0.017685 0 0.047826
0.01037 0.018304 0.007946 -0.0153 -0.024035 0.000271 0.015639 0.021959 0.009336
-0.000838 -0.033143 0.013103 -0.008813 -0.002239 -0.030114 -0.021665 -0.056198 -0.036177
0.036059 0.017684 -0.012303 0.011933 0.024682 -0.012587 -0.000732 -0.027461 -0.005971
-0.00344 0.017555 -0.00543 0.00948 0.037713 0.042493 -0.042491 0.021622 -0.020596
-0.014213 0.024958 0.015842 0.006413 0.008206 -0.021739 0.000956 -0.014109 0.002848
0.004737 -0.024036 -0.002845 0.016614 -0.004651 -0.032222 -0.012421 -0.008945 -0.0391
-0.03239 -0.018405 0.003699 -0.012984 -0.00771 -0.038462 0.005224 -0.032491 0.010002
0.039407 0.025893 0.032849 0.010887 0.004238 -0.026866 0.01155 0.031716 0.029259
-0.007338 -0.010009 -0.012232 0.011667 0.014068 0.018405 -0.026832 -0.061483 0.012683
-0.02115 0.011868 -0.0129 -0.045908 -0.002543 0.035843 0.000978 0.052023 -0.01274
0.021345 0.014596 -0.011814 0.006509 -0.03732 0.056993 -0.001563 0.049451 -0.024278
-0.005979 -0.015242 0.003503 0.00254 0.008909 -0.088583 0.017218 -0.04014 -0.036091
0.020535 -0.030435 0.015868 0.015204 -0.005012 -0.079384 -0.039238 -0.085455 0.025349
-0.010772 -0.035785 0.009164 -0.010665 -0.004557 -0.016066 -0.052052 -0.021869 -0.071218
-0.009657 0.012929 -0.004024 -0.022936 -0.034217 -0.007997 0.020063 -0.02439 -0.023199
-0.024896 -0.044995 -0.010671 0.002347 -0.013224 0.007726 -0.02588 -0.002083 0.00025
0.035745 0.0125 0.002723 -0.011944 0.030594 0 0.031881 -0.014614 0.093477
-0.010887 -0.025736 0.002089 0.010903 0.019995 -0.046667 -0.019567 -0.016949 0.019429
-0.029491 -0.026221 0.014383 -0.001641 -0.039325 0.008741 -0.019748 -0.015086 -0.047085
-0.014552 0.061562 0.01798 0.003992 0.009794 0.005199 -0.011787 0.019694 -0.023529
-0.027362 -0.035361 0.000706 0.006784 0.027605 0.017931 -0.006723 0.006438 0.001205
0.019201 0.025513 -0.006757 0.001162 0.019361 0.029133 0.020961 0.036247 -0.002888
0.013143 0.01039 -0.017059 -0.027617 0.017331 0.058262 0.025663 0.037037 -0.000724
0.004973 0.014623 -0.020661 -0.029356 0.044341 0.006221 0.047748 0.045635 0.056576
-0.003227 -0.010042 0.032384 0.018195 0.009162 -0.02102 -0.000199 0.009488 0.023341
-0.050723 -0.067437 -0.011955 -0.001207 -0.014393 -0.044837 -0.025677 -0.114662 -0.004472
-0.081401 -0.038272 -0.018097 0.001209 -0.032577 -0.012231 -0.070684 -0.057325 -0.055256
0.045297 0.03037 -0.008425 -0.009418 -0.04366 0.057564 0.041987 0.058559 0.015216
-0.037414 -0.034861 -0.009559 -0.003901 -0.007771 -0.02057 -0.077004 -0.010638 -0.025293
-0.003444 0.006318 0.001072 0.011992 -0.021292 -0.008078 0.034514 -0.019355 0.037963
-0.024932 -0.057137 -0.014569 -0.019831 -0.022256 -0.084691 -0.015024 -0.02193 -0.021759
0.026582 0.027747 -0.000435 -0.010116 0.038619 0.088256 0.012786 -0.029148 0.005679
-0.027127 -0.046436 -0.012507 -0.022433 0.012066 -0.039016 -0.0567 -0.090069 -0.012941
-0.042586 0.008834 -0.039317 -0.019633 -0.056204 -0.002729 -0.056116 0.038071 -0.010727
-0.048716 0.000224 0.006534 0.006307 -0.023975 0.056791 -0.03209 0.122249 -0.017831
0.05622 0.049495 0.00467 -0.007833 0.026149 0.009064 0.071961 0.004357 -0.026742
0.035573 0.020212 -0.032083 0.019474 0.003089 0.015399 0.00959 -0.017354 0.042349
