nibm        vol       vix
-0.1094784 0.01700121 29.99
0.01530858 0.01614694 26.6
-0.008681209 0.03786369 26.97
0.004664864 0.03602087 28.67
0.01074553 0.03403132 29.84
-0.0094086 0.03211091 27.99
-0.002672426 0.0304799 26.8
-0.001333111 0.02887201 25.79
0.01139063 0.02723618 24.56
-0.04157659 0.02569595 25.28
-0.1135367 0.02454973 24.93
-0.02675974 0.02658981 23.37
0.02445357 0.04380945 23.24
-0.004595425 0.04207662 23.25
-0.01252819 0.04041217 21.57
-0.002826003 0.0380774 22.03
-0.03056606 0.03606441 22.64
-0.006916029 0.03398241 22.57
-0.01407646 0.03340907 22.61
0.04033565 0.03154738 22.57
-0.0181385 0.03004417 22.02
0.03370467 0.03117529 21.66
-0.01752946 0.02991249 21.95
-0.01740269 0.0302401 22.19
-0.02465164 0.02901474 21.98
0.02432958 0.0278788 21.67
0.01857648 0.02738679 21.46
-0.02556345 0.02702506 22.03
0.01005943 0.02621623 21.92
-0.01179813 0.02598154 21.37
-0.0144905 0.02475253 21.52
0.01535935 0.02363784 20.27
0.03090776 0.02275715 22.12
0.03644098 0.02209103 24.69
-0.01284613 0.02315682 25.75
0.0460387 0.02484417 26.76
-0.01242252 0.02377498 27.21
0.02607296 0.02690913 25.43
0.0265709 0.02566522 26.49
-0.05974141 0.0256652 28.35
0.03600134 0.02571795 28.08
-0.02519298 0.03070574 27.43
-0.01033639 0.03120009 27.12
-0.01451711 0.0304332 25.89
0.01009276 0.02885858 24.12
0.06981857 0.02757307 24.29
0.03902361 0.02623198 25.62
-0.02991796 0.03338006 30.32
0.03548315 0.03388611 27.55
-0.006298125 0.03326414 29.61
0.05883429 0.03338162 28.56
-0.02736903 0.03150977 29.91
0.04754874 0.03520542 29.78
-0.008795209 0.03424378 30.96
-0.0002239749 0.03571526 31.93
-0.0483091 0.03374812 32.84
-0.02001045 0.03180172 30.45
-0.04207912 0.03359616 29.04
0.05251088 0.03225499 27.04
-0.006650834 0.03313886 28.58
-0.01192363 0.03550446 29.17
0.01593021 0.03350483 28.64
0.04615808 0.03177789 31.21
-0.01765523 0.03041101 34.72
-0.06531947 0.03229769 34.07
0.002650509 0.03092011 29.94
0.02010883 0.03568203 31.69
-0.03127674 0.03363208 31.91
0.01649022 0.03236966 29.44
0.01270436 0.03202991 28.46
-0.00570072 0.03067493 26.12
-0.03003539 0.02922663 26.33
-0.06597967 0.02760835 25.61
-0.07216809 0.02767467 24.13
-0.003140065 0.03337308 24.16
0.02495377 0.03882046 25.38
-0.005964179 0.03657084 28.16
-0.01916419 0.03539583 28.49
0.009712009 0.03339119 27.4
-0.02139743 0.03201555 25.96
0.00916386 0.03035381 24.02
-0.02884884 0.0293718 25.48
0.02659349 0.02787031 24.2
0.01484058 0.02778157 24.23
-0.01881881 0.02759606 25.78
-0.0003449405 0.02649126 23.91
-0.01660045 0.02565941 24.86
0.006135785 0.02421766 24.44
0.01533295 0.02342642 24.35
0.02986866 0.02222996 24
-0.006685601 0.02160926 23.54
-0.009021186 0.02260778 24.26
-0.01935743 0.02144777 23.71
0.006323954 0.02045116 21.89
-0.02038677 0.02024199 21.47
-0.01353203 0.01927397 21.23
0.008690655 0.0192978 20.76
0.005182405 0.01872268 21.35
-0.01856559 0.01797297 22.08
0.0151644 0.01712764 20.57
0.02171099 0.01721559 20.6
0.02299129 0.0170747 22.14
0.007573607 0.01767716 22.76
-0.009702775 0.01835582 22.64
-0.006622026 0.01757919 21.59
-0.02888187 0.01691076 21.38
-0.004520766 0.01615178 19.58
0.002130267 0.01777382 20.39
0.009856415 0.01688886 19.67
-0.01079453 0.01604099 19.92
0.0009374393 0.01558632 20.7
0.006073406 0.01515481 20.7
0.006802082 0.01441084 21.45
0.01874968 0.01387409 23.12
-0.005880675 0.01342033 22.81
-0.004975601 0.01419433 23.17
0.01535631 0.01361356 22.34
0.004342415 0.0130448 21.71
-0.002395129 0.01343786 19.38
0.001950902 0.01290351 20.02
-0.003456021 0.01232519 20.67
-0.004237011 0.0118044 21.2
-0.01382203 0.01133134 20.88
0.01841349 0.01091951 20.01
-0.0118762 0.01129041 19.06
0.01205335 0.01239524 18.76
0.007819493 0.01237224 18.92
0.05124593 0.01248623 20.09
0.01685526 0.01222245 21.63
0.02670955 0.0202062 22.48
-0.01836728 0.01990405 23.25
-0.03221546 0.02073806 24.01
-0.01186434 0.02040905 22.09
0.006563493 0.02176495 21.14
-0.006563414 0.02088126 22.91
0.03994738 0.01987636 22.61
0.002688611 0.01890139 23.6
-0.01621384 0.02205694 22.51
-0.001417994 0.02087116 22.34
0.01273981 0.02035083 23.74
-0.003629406 0.01925124 25.24
-0.01052739 0.01870937 24
0.01233982 0.01774215 23.01
-0.01092411 0.017107 22
0.006064351 0.01673471 22.69
-0.01743119 0.01620968 21.62
-0.01612233 0.01552987 20.56
0.005715301 0.01569242 20.09
0.01555739 0.01569896 19.89
0.002443984 0.01504363 21.89
0.01823627 0.01519432 21.01
0.001056558 0.01447171 22.32
-0.008324257 0.01501411 21.75
-0.008633623 0.01428138 20.55
-0.003206853 0.01381063 20.42
0.01126825 0.01339906 20.48
-0.007022286 0.01279826 20.91
0.0110296 0.01278434 21.54
0.004696009 0.01237126 23.84
0.0214586 0.01238429 22.87
-0.02011238 0.01195047 24.4
0.009276898 0.01341092 22.44
-0.03800651 0.01420872 22.23
0.001215739 0.01388303 19.71
0.01803567 0.0177841 20.56
0.007843681 0.01686229 22
0.03687666 0.01705549 23.03
0.004093366 0.01639425 25.41
-0.0152905 0.019597 24.92
0.01129657 0.01860502 25.85
0.02369656 0.01822731 26.35
0.01449251 0.01767565 28.61
0.001242772 0.01844734 30.99
0.03298301 0.01811866 31.84
-0.0322571 0.01717459 41.76
0.004157631 0.01947362 38.87
0.0274565 0.02099988 40.56
0.03154124 0.01991384 43.74
-0.04641974 0.02084693 42.66
0.003698832 0.02220556 37.75
0.03391983 0.02554653 35.81
