MSFT  KO MO LMT MMM MRK MCD MDT LOW MS MET MON  KFT MA
0 -0.002051 0.049716 0.004418 -0.010892 -0.006676 -0.014706 -0.014493 0.005618 -0.089905 -0.028571 0.04388 0 0
0.105187 -0.025694 -0.08525 -0.013196 -0.011536 -0.041667 0.005597 -0.009664 0.184358 0.160312 0.025735 0.110619 0 0
0.01043 -0.028481 -0.04142 -0.007429 0.01008 -0.046283 -0.020408 -0.070064 0.011792 0.059746 -0.064516 -0.02502 0 0
0.014194 0.002172 -0.009259 -0.016467 -0.03729 -0.019853 -0.001894 -0.019406 -0.0338 -0.045807 -0.032567 -0.026639 0 0
-0.003817 0.016251 0.048287 0.001827 0.006001 0.002251 0.001898 -0.005821 -0.047045 -0.014771 0.041584 0 0 0
0.058748 0.012793 0.031204 0.040413 -0.015727 0.005988 0.001894 0.002342 -0.017722 -0.010495 0.030418 -0.010526 0 0
0.020507 -0.004211 0.017291 -0.013727 -0.009917 -0.009673 0.003781 -0.016355 0.03866 0.045212 -0.016605 0.008511 0 0
0.040189 -0.029598 -0.056657 -0.00533 -0.001669 -0.018783 -0.015066 0.004751 -0.008685 0.017442 -0.02439 -0.012658 0 0
-0.027273 -0.013072 0.015015 -0.001191 -0.021739 -0.002297 0.028681 0.036643 0.008761 -0.027143 -0.046154 0.025641 0 0
-0.017523 0.006623 0.007396 -0.004471 0.034758 0.023024 0.01487 0.006842 -0.01737 -0.01395 -0.002016 0.00625 0 0
0.007134 0.016447 0.005874 -0.041317 -0.030837 -0.024756 0.016484 -0.021518 -0.027071 -0.036485 0.008081 0.010352 0 0
0.048406 -0.014024 0.007299 -0.002186 -0.009091 0.02 -0.030631 0.011574 -0.041558 -0.009274 0.012024 0.010246 0 0
0.099099 -0.022976 0.007246 -0.006886 -0.020642 -0.005279 -0.024164 0.004577 -0.03794 0.053042 -0.015842 -0.054767 0 0
-0.014344 -0.00224 0.020144 0.048219 0.019906 -0.001516 0.020952 0.014806 0.035211 -0.005926 0.056338 -0.01073 0 0
0.007277 0.021324 -0.008463 -0.007817 0.019518 -0.033409 -0.018657 -0.011223 0.042177 0.035022 0.00381 -0.010846 0 0
0.039216 0.020879 0.012802 -0.030303 -0.03491 -0.007855 -0.062738 -0.026107 -0.011749 -0.029518 0.02277 0.015351 0 0
-0.017875 0.009688 0.007022 0.078437 0.02217 0.037213 -0.040568 0.018648 0.023778 -0.01632 -0.011132 0.012959 0 0
0.035389 -0.011727 -0.022315 0.010722 -0.019977 0.00458 -0.019027 0.005721 0.007742 -0.004525 -0.013133 0.029851 0 0
0.007813 -0.01411 0.013638 0.004874 -0.00021 -0.023587 0.017931 -0.006143 0.02023 0.017939 0.008973 0.021946 0 0
