ORCL PEP PG PFE OXY NKE NSC NOV NWSA NYX
-0.092473 -0.003783 0.000797 0.002717 -0.002577 -0.030235 0.028169 -0.011309 0 0
0.21327 -0.058228 -0.049363 -0.055556 -0.023256 0.033487 0.031963 -0.042484 0 0
0.017578 -0.045699 -0.030988 -0.040172 -0.005291 0.025698 0.09292 -0.035836 0 0
-0.074856 0.021127 0.036301 0.013453 0.023936 -0.043573 -0.004049 0.00531 0 0
-0.006224 0.016552 0.021685 -0.011799 -0.005195 0.050114 0.04878 0.015845 0 0
0.052192 0.014925 -0.025306 0.032836 -0.028721 0.031453 0 0.013865 0 0
0.039683 -0.016043 -0.010888 -0.021676 0.008065 -0.022082 -0.015504 0.041026 0 0
0.017176 0.001359 -0.014395 -0.031019 -0.002667 -0.006452 -0.003937 -0.018062 0 0
-0.030019 -0.008141 -0.033505 0.010671 -0.013369 -0.022727 -0.023715 -0.011706 0 0
-0.015474 0.005472 0.023111 0.006033 -0.00542 -0.013289 0.044534 -0.042301 0 0
0.045187 -0.012245 -0.019461 -0.022489 -0.016349 0.002245 0.023256 -0.003534 0 0
0.016917 -0.008264 0.008905 0.009202 -0.01385 0.004479 0.003788 -0.04078 0 0
0.022181 -0.026389 -0.012357 0.006079 0.002809 -0.06466 -0.026415 0.033272 0 0
-0.079566 0 -0.011618 0.018127 0.016807 0.009535 0.015504 -0.0161 0 0
-0.010314 -0.014265 0.004521 0.017804 0.013774 0.003542 -0.003817 0.001818 0 0
-0.045161 -0.01013 0.007201 0.001458 -0.01087 -0.014118 -0.045977 -0.012704 0 0
-0.004158 0.023392 0 0.034934 -0.008242 0.034606 -0.024096 0.068015 0 0
0.014614 0.007143 -0.00983 -0.002813 -0.00831 -0.021915 0.00823 0.018933 0 0
0.002058 -0.009362 -0.034657 -0.022849 -0.001117 -0.006226 0.016163 -0.005676 0 0
-0.004107 0.019931 0.063575 0.022633 0 0.006645 0.008997 -0.010601 0 0
-0.039175 -0.010108 0.010408 0.019648 0.016107 0.037722 0.043949 0.002473 0 0
0.032189 -0.009077 0.029371 0.001329 -0.02686 -0.004907 0.013472 -0.038093 0 0
-0.076923 0.030227 -0.002569 -0.006857 0.023077 0.003653 -0.009063 0.003989 0 0
-0.009009 -0.000445 0.007999 0.018931 0.035825 0.006369 -0.006707 0.034336 0 0
0.004545 0.006449 -0.003093 0.002186 0.00854 0.028029 0.003683 0.061728 0 0
0.002262 0.038224 0.014436 -0.029444 0.009314 -0.00299 -0.012232 0.00801 0 0
-0.020316 -0.002979 -0.003857 0.005618 0.010487 -0.026464 0.052632 0.002307 0 0
-0.131336 -0.013874 0.001202 0.00648 0.013284 -0.008699 0.027647 0.008184 0 0
-0.023873 0.016234 0.001467 0.023979 -0.002458 -0.004022 0.017745 -0.004312 0 0
-0.019022 0.00426 -0.007324 -0.023634 -0.00616 0.03047 0.021372 0.01758 0 0
0.108033 -0.009544 -0.011536 0.006218 -0.000826 -0.016744 -0.037445 0.014021 0 0
0.02 0.003212 0.002307 -0.021018 -0.002481 -0.050362 0.009725 -0.015556 0 0
-0.058824 0.010032 0.013268 0.022825 -0.004561 -0.011446 0.02153 0.004515 0 0
-0.036458 0.024937 0.011625 -0.008617 0.004581 -0.077383 0.026068 -0.001248 0 0
-0.005405 -0.025773 0.014397 -0.001337 -0.014925 -0.014851 -0.017838 -0.0075 0 0
0.016304 -0.014815 -0.009115 0.006249 -0.003788 0.02017 0.00055 0.007557 0 0
-0.058824 -0.003652 -0.01406 -0.005988 0.004647 0.019771 -0.022552 -0.064 0 0
0.053977 -0.002156 -0.052246 0.009594 0.019344 0.003469 0.014631 0.034989 0 0
-0.06469 -0.004754 -0.005766 -0.000884 -0.006601 -0.194631 0.008874 -0.032258 0 0
-0.123919 0.000434 -0.002829 -0.004645 -0.003738 -0.013889 -0.005498 -0.034667 0 0
0.125 -0.005859 -0.026241 -0.02 -0.005002 -0.021767 -0.021559 0.017956 0 0
-0.210526 -0.020956 0.014567 -0.011111 0.032677 -0.007592 -0.027119 0.042334 0 0
0.007407 0.017168 0.007322 0.005045 0.019878 0.00211 0.011034 0.006769 0 0
0.036765 0.004165 -0.015821 -0.016655 -0.003978 0.03264 -0.002297 0.002069 0 0
0.056738 0.00764 -0.007676 -0.026682 0.024361 0.029824 0.01209 0.024516 0 0
-0.060403 0.019122 0.036194 0.001192 0.038976 0.002475 0.021047 0.007053 0 0
-0.064286 -0.010661 -0.026197 0.010714 -0.016294 -0.00963 -0.012256 -0.001001 0 0
