SLB TXN SO SLE RTN RF  S TGT  T QCOM TWX
0.022674 -0.022427 -0.030075 0.002545 -0.012072 -0.006865 0.083077 0.031008 0.054974 -0.137643 -0.069253
-0.024465 0.08502 -0.031008 -0.060914 0.014257 0.039747 0.116477 0.090226 0.012407 0.186067 0.157765
-0.025862 0.03607 -0.072 -0.048649 -0.006024 0.014958 0.063613 0.018966 0.014706 -0.060967 0.1248
-0.012068 -0.091236 -0.017241 0.022727 -0.022222 -0.024017 -0.004785 -0.060914 -0.033816 -0.074426 -0.0211
0.003257 -0.006605 0.026316 0.005556 -0.016529 -0.011186 -0.038462 -0.009009 0.007575 0.065868 -0.030516
0.002435 -0.047872 0.002137 -0.005525 0.058824 -0.006787 0.0375 0.003636 0.03616 -0.05939 0.070447
0.013765 0.037709 -0.014925 0 0.039683 0.002278 0.045783 -0.001812 0.008424 -0.011092 0.047608
0.027955 0.068641 -0.054113 -0.047222 -0.04771 0.018182 0.029954 -0.029038 0 -0.025884 0.052127
0.00777 -0.035264 0.02746 -0.020408 0.002004 -0.011161 -0.035794 0.041121 -0.027446 0.017715 -0.016091
-0.006168 -0.003916 -0.008909 0.029762 -0.02 0.024831 -0.006961 0.030521 -0.017178 -0.012185 0.004949
-0.050427 0.060288 -0.011236 -0.00578 -0.014286 0.017621 0.053738 -0.001742 0.004994 0.029075 0.044754
-0.048203 0.013597 0.004545 0.031977 -0.012422 -0.018398 -0.015521 -0.034904 0.004969 0.000856 0.020086
0.012017 -0.018293 0.020362 0.005634 -0.008386 -0.003308 -0.009009 -0.052441 -0.017305 -0.036784 0.080972
-0.000848 -0.034783 0.017738 0.008403 0.038055 0.03208 -0.056818 0.055344 -0.016352 0.071936 0.000744
0.003396 -0.073359 0.004357 0.013889 0.046843 -0.007503 -0.028916 0.041591 0.008951 0.028998 0.005758
0.021997 -0.033333 0.015184 -0.046575 -0.013619 0.00216 0.032258 0.008681 -0.03929 -0.043478 0.029548
0.04553 -0.033046 0.010684 0.002874 0.102564 -0.002155 -0.057692 0.010327 0 -0.004209 0.000359
-0.020586 -0.013373 -0.016913 0.005731 -0.017889 0.012959 -0.020408 -0.008518 -0.014512 0.09552 -0.021158
-0.021762 0.059548 0.011957 -0.026781 0.01071 0.006397 0.05 0.013058 0.025971 0.071759 0.007511
-0.001719 0.017747 0.0017 -0.015925 0.017878 0.006356 0.005952 -0.009498 0.000417 -0.012959 -0.012545
0.017219 -0.020791 -0.009504 0.010947 -0.003116 0.002105 -0.021696 0.040548 0.008973 -0.018964 -0.032222
-0.016797 -0.002055 -0.012851 0.008475 0.039784 0.002101 -0.010081 -0.002106 0.045502 0.014126 -0.051941
0.019732 -0.014413 0.009132 -0.016807 -0.02979 -0.002096 -0.042362 -0.024538 -0.014837 0.018328 -0.040939
0.013117 -0.04805 0.011138 0.00095 0.009577 0.004202 -0.000851 -0.01677 -0.002008 -0.00432 0.033061
0.016408 0 0.006885 -0.003795 -0.012556 -0.006276 0.025117 -0.001651 0.001006 -0.040492 -0.010533
-0.00164 -0.049012 0.006838 0.005238 -0.044645 0.004211 -0.002076 0.011022 -0.022111 0.044461 -0.013306
-0.009727 -0.00641 0.020713 0.005684 -0.001775 0.002096 0.025801 -0.03625 -0.008839 -0.021645 0.011618
-0.002424 -0.036645 0.004325 -0.005181 -0.010074 0.002092 -0.033671 -0.039876 -0.034218 -0.066372 -0.030968
-0.117647 0.009912 0.012256 0.007102 -0.003292 0.002088 0.033165 0.064801 0.025768 0.047393 0.005926
-0.072174 -0.007692 -0.003599 -0.007992 0.01982 -0.002083 -0.027225 0.018811 0.014444 -0.028658 0.011782
0.022181 0.035819 -0.007553 -0.005213 -0.021496 -0.002088 -0.028822 -0.005973 -0.030128 0.035714 0.009149
-0.018185 0.04929 -0.020516 -0.016198 -0.003912 0.01046 -0.020215 -0.001502 0 0.026987 0.02926
0.003891 -0.099852 0.024662 0.014044 0.020846 0.010352 -0.029851 -0.02137 0.015319 -0.058394 -0.031832
0.010349 -0.057377 0.017474 0.040592 -0.00148 -0.016393 0.022624 0.042833 0.022003 -0.063372 -0.070513
-0.025854 -0.007246 -0.010045 -0.024782 -0.00652 -0.002083 -0.05885 -0.065772 -0.026041 -0.056487 -0.012236
-0.013586 -0.045255 0.000982 0.033882 0.00895 0 0.038552 0.028736 0.030105 -0.060526 0.011261
-0.038917 -0.077982 -0.013407 0.001821 -0.019811 0.003653 0.029425 -0.001676 0.016146 -0.076564 -0.035635
0.077321 -0.033167 0.009281 0.001363 0.015686 0.01092 0.00088 0.057638 0.011665 0.020222 0.065127
-0.003867 0.02916 0.012479 0.009301 0.002376 -0.004115 -0.011424 0.015079 0.005567 -0.117939 -0.030789
-0.010093 -0.015 0.003892 -0.018552 -0.016 -0.008264 -0.006222 0.016419 -0.05694 -0.014607 -0.014989
-0.006745 0.096447 0.000969 -0.011526 -0.071364 0.0125 -0.027728 -0.043846 -0.046122 0.116306 -0.000681
0.032849 0.082099 0.010329 0.000933 -0.005512 0.026749 -0.00092 -0.009118 0.023516 -0.011236 -0.044091
0.012691 -0.010268 0.003514 -0.021435 0.025432 0.002004 -0.013352 -0.014885 -0.024909 0.040289 0.041369
0.012985 0.040346 -0.005094 -0.017143 -0.050874 -0.004 0.003266 0.043956 0.013213 -0.061569 0.062557
0.03145 -0.037119 -0.00928 0.001454 -0.025796 0.028112 0.029535 0.007895 -0.044338 -0.024339 -0.026644
-0.003468 0.001151 0.00646 0.033866 -0.002407 0 0.000909 -0.007833 0.033887 -0.006508 -0.01766
-0.003625 -0.058908 -0.006739 0.001404 0.026198 -0.023438 -0.011348 -0.010526 -0.010119 -0.092795 -0.036629
-0.010479 -0.050382 -0.004847 0.008411 0.008062 -0.046 -0.013315 -0.028989 -0.002444 -0.074609 -0.083975
-0.027063 0.054984 -0.017208 0 -0.008664 0.018868 -0.004188 -0.023555 0.000891 0.09883 0.036415
-0.015873 -0.039622 -0.019491 -0.016682 -0.038319 -0.038107 -0.039252 -0.004208 -0.062764 -0.028402 -0.016216
-0.022427 -0.000952 0.069407 0.008011 -0.019574 0.017279 0.055448 0.001972 0.016861 0.017052 0.013736
-0.038341 -0.00413 0.000945 0.00935 -0.024955 -0.014862 0.002304 -0.017993 -0.01588 -0.035928 -0.030549
0.036928 0.037002 0.015738 0.002779 -0.014625 -0.006466 0.011494 0.019181 0.021832 0.156522 0.013977
0.025213 -0.007997 0.007437 -0.005543 -0.007421 -0.02603 -0.035455 0.004214 -0.050163 -0.071966 -0.02782
-0.031663 0.054884 0.004306 -0.009754 0.008972 -0.03118 -0.014138 0.031329 -0.019071 0.076389 -0.024491
-0.032381 0.113169 -0.019908 -0.015478 -0.03668 -0.016092 0.013384 -0.06428 0.009721 -0.021505 -0.028277
0.030348 0.024822 -0.008125 0.004288 0.023077 0.035047 0.020283 0.011594 0.033325 0.035165 0.074789
0.015762 -0.059521 0.047259 -0.003321 0.025564 0.015801 0.004623 0.025501 -0.014572 -0.038217 0.034666
-0.015674 -0.006849 0.01414 0.000952 0.042522 0.002222 0.060746 0.030455 0.064242 0.057395 0.051602
-0.035987 -0.104 0.016612 0.028055 -0.005977 -0.002217 -0.041649 -0.019794 -0.038952 -0.084551 -0.052093
-0.045425 -0.032635 0.00817 -0.006013 0.065794 0.001667 0.023087 -0.019087 0.030576 -0.002281 -0.000245
-0.003115 -0.014004 0.01563 0.004188 -0.024892 0.009429 -0.026991 0.017485 0.026449 0.035429 -0.014724
-0.040792 -0.084893 0.0057 -0.001854 0.02791 0.015385 -0.003638 0.006097 -0.019494 -0.090508 -0.074222
-0.040174 -0.029982 0.00808 -0.003714 -0.003311 0 -0.041534 -0.033609 -0.014625 -0.11165 -0.087974
0.018665 0.006909 -0.00905 0.050792 0.011296 -0.030303 -0.000952 -0.02195 0.019944 -0.040984 0.036873
0.054784 0.124955 0.007306 -0.0102 0.026124 0.044643 0.060534 0.044885 0.010459 0.092593 0.129445
0.016845 -0.092777 -0.026745 -0.012545 -0.001934 -0.012821 -0.057528 -0.006974 -0.019886 -0.0691 -0.010076
0.040552 -0.026539 0.02422 -0.006806 0.007104 0.006061 0.021936 -0.015449 0.001155 0.013782 0.004326
0.023217 0.075972 0.013188 -0.023755 -0.010901 0.030293 0.064396 0.022825 -0.008304 0.078691 0.013681
-0.024635 0.148649 0.004937 -0.011699 -0.013938 0.007016 -0.006576 -0.004184 -0.041638 0.046926 0.029743
0.017115 0.042647 -0.009826 0.002841 0.013807 0.006636 0.014563 0.004202 -0.000485 0.038168 0.024757
0.015357 -0.068829 0.019396 -0.008499 0.000324 -0.00824 0.018269 -0.002789 0.01967 -0.088047 0.025817
0.007884 0.029991 0.017257 0 0.034036 -0.001662 -0.058522 -0.011189 0.028102 0.049411 0.013623
-0.024266 0.062941 -0.008264 -0.001905 0.029781 0.03462 0.014065 0.082037 -0.033125 0.157407 0.116173
-0.031414 0.073879 -0.021491 -0.015744 -0.066971 -0.00193 -0.014765 -0.020131 -0.009344 0.129021 0.018367
0.02652 -0.033754 0.002241 -0.037324 -0.015008 -0.009671 -0.019074 0.000534 -0.032648 -0.03769 -0.024249
0.02419 -0.048533 0.014311 0.006042 -0.019543 0.001953 -0.016667 -0.020267 -0.01875 -0.088203 -0.022387
-0.009801 -0.034473 0.021605 -0.006006 -0.001351 -0.009747 0.004708 -0.020686 0.011465 0.022337 -0.007353
0.022392 0.017417 0.005611 0.020141 -0.035183 0.002297 0.001874 0.00806 0.027456 0.058487 0.047619
0.069037 -0.015086 0.001288 -0.015795 0.045231 -0.013421 0.012629 0.035291 0.003187 -0.078279 0.000202
-0.02019 0.071884 -0.011573 0.013039 0.008051 0.028534 -0.004619 0.042876 0.023949 -0.030146 0.009695
0.004546 0.046512 0.01431 -0.014356 -0.017304 -0.017742 -0.007889 -0.018131 -0.015513 0.018828 0.010202
-0.021267 0.022481 -0.00171 -0.003014 -0.009143 -0.014778 0.011226 0.016645 0.035879 0.076534 0.028911
-0.051318 0.009603 -0.011563 -0.003526 0.013329 0.016667 0.025902 -0.005116 -0.008425 -0.026721 -0.006736
0.002599 -0.049562 -0.016248 0.017189 -0.064081 -0.002951 -0.011722 0.003086 -0.013453 -0.020965 -0.018601
0.019929 -0.00316 0.004023 0.004473 0.004324 0.004604 0.010493 0.006152 0.008373 0.046737 0.030602
-0.009214 0.015324 0.005788 0 0.026193 -0.006547 0.049661 -0.007898 0.019454 -0.01786 -0.001916
-0.008979 0.017434 -0.006197 0.014844 0.017832 -0.005931 -0.04 -0.011043 -0.011869 0.025789 -0.003263
0.018444 -0.039642 0.002227 -0.029254 0.012023 -0.004309 -0.005376 -0.005453 -0.004946 -0.044641 0.001348
-0.005401 0.006125 0.011556 0.004018 -0.000339 -0.000333 -0.009009 0.031332 0.009231 -0.011302 0.008654
-0.010701 -0.008205 -0.00703 -0.028514 -0.001358 -0.002664 0 0.010886 -0.009146 -0.011261 -0.015443
0.029222 -0.018148 0.00354 0.002575 0.007842 0.007346 -0.016364 -0.00576 0.013018 -0.017774 -0.000775
0.031059 0.006523 -0.010582 -0.02414 -0.011492 0.005635 -0.002773 -0.035265 0.01285 0.045327 -0.016473
0.007303 0.039698 0.002674 0.034211 -0.010239 0.021424 -0.007414 -0.006397 0.035756 0.088403 0.045123
0.026884 0.033766 0.004 -0.015267 0.006207 -0.009681 -0.033147 0.009737 -0.026726 0.024552 0.014706
0.007942 -0.002261 -0.003984 0.020155 -0.01645 -0.005213 0.009174 -0.014855 0.018764 -0.014622 0.011334
-0.001167 0.054143 0.001333 0.003039 -0.027875 -0.003603 -0.000957 -0.001323 -0.011456 0.085947 0.039868
-0.017531 -0.013139 0.007989 -0.009091 0.062724 0.013149 -0.01341 0.030199 -0.014542 -0.015338 -0.00795
-0.033457 -0.041878 0.010568 0.001529 0.003373 -0.000649 -0.019417 -0.030856 -0.01199 -0.025747 -0.015494
-0.017692 -0.02956 0.005664 -0.001527 -0.003361 -0.001299 0.022772 -0.004245 0.005601 0.027735 -0.01809
0.003289 -0.01458 -0.007366 -0.011723 -0.03204 -0.006827 -0.014037 -0.00453 -0.017173 -0.035415 -0.013817
-0.011083 -0.034346 -0.004801 -0.004642 -0.004878 0.011457 -0.03731 -0.004283 0.019599 -0.019846 -0.047263
-0.016101 -0.094665 0.012281 -0.03342 0.052521 -0.009061 -0.015298 0.015591 -0.021306 -0.065866 0.001961
0.01123 0.031127 0.019931 0.017828 -0.009647 0.01339 0.051787 0.000529 0.018694 -0.017486 0.021331
-0.003173 0.00381 -0.013594 0.018578 -0.014108 0.001289 0.032004 0 -0.023229 0.013994 0.01073
0.036249 0 0.019811 -0.005732 -0.006814 0.003862 -0.019084 -0.020635 -0.000238 0.005683 -0.015166
0.008626 0.050803 0.003378 0.00891 0.003431 0.012504 0.020914 0.015937 0.008563 0.025509 0.020404
-0.054673 -0.013337 -0.019781 -0.000519 0.019829 -0.008233 -0.009767 -0.007179 -0.014151 -0.016373 -0.013771
-0.012116 0.109265 -0.012881 0.014553 -0.025478 -0.004151 -0.00242 0.016604 -0.002392 0.040333 -0.011094
-0.0139 -0.035542 0 -0.009734 0.003096 -0.008977 0.015526 0.007903 -0.006235 -0.057846 -0.012573
-0.008292 -0.031061 0.009134 -0.011381 0.018176 -0.005176 -0.005733 -0.026398 0.017857 -0.023841 0.014496
0.013378 -0.051888 0.002155 0.010989 0.037386 -0.002927 0.001442 -0.00349 -0.003319 -0.030278 0.005986
-0.006271 -0.025215 -0.012903 0 -0.005519 -0.007175 -0.018234 -0.007274 -0.000238 -0.064689 -0.010557
-0.055131 -0.07378 -0.020915 0.004658 0.0111 -0.018568 -0.026882 -0.00407 -0.007614 -0.050166 -0.022114
0.00703 0.019994 0.010681 -0.008243 -0.000646 0.016892 -0.003516 -0.029428 -0.033565 -0.041748 0.00972
-0.011867 -0.031425 0.002642 0 0.031987 0.007641 -0.014113 0.019933 -0.013644 0.013982 -0.021611
-0.004769 -0.049149 0.010101 -0.002597 0.002818 0.016815 0 -0.001652 0.0166 0.005396 0.000803
-0.025732 0.011824 0.017391 0.015625 -0.02404 0.011349 0.01227 -0.00772 -0.010391 -0.036971 0.05939
-0.024044 0.015025 -0.016239 -0.016923 -0.006718 0.023726 0.026263 0.008891 -0.0165 0.083591 0.041667
0.009705 -0.003289 0.005647 -0.00313 -0.040258 -0.02067 0.01378 0.000826 -0.012456 0.029143 -0.034545
-0.004436 0.018152 -0.003888 -0.009942 -0.033557 0.002239 -0.003883 0.012933 -0.003861 0.005923 -0.001883
0.012254 0.001945 0.012576 -0.020613 0.007639 -0.000319 0.003899 -0.002173 0.019121 -0.016559 -0.00283
-0.026963 0 0.011563 0.001079 -0.056857 -0.003192 -0.001456 -0.040022 -0.001014 0.039476 -0.003217
-0.008106 0.026205 -0.005504 0.016173 -0.039094 0.016651 0.010209 0.007374 0.010406 0.036717 -0.011389
0.00057 0.005675 -0.010217 0.004775 0.009506 0.007874 0.027911 -0.025901 0.00628 0.015278 0.017665
-0.010446 0.029154 0.002581 0.029039 -0.00226 0.004375 0.028558 0.028613 0.01348 -0.010431 0.001132
0.024952 -0.015535 0.000858 0 0.001133 -0.003734 0.0132 0.011239 0.000493 0.103681 -0.005654
0.007491 -0.029703 -0.001286 -0.005131 0.02451 -0.004372 -0.015723 -0.016949 0.016741 -0.038516 -0.026535
-0.009851 -0.067283 -0.005579 0.003094 -0.024101 -0.014743 -0.020995 -0.052855 -0.025272 -0.052597 -0.024338
-0.027595 0.005128 0.009063 -0.012853 -0.017477 -0.001273 0.002331 -0.009251 0.00625 0.060846 0.011574
-0.017374 0.008503 0.008127 -0.008333 -0.033256 -0.015301 -0.01814 -0.013855 0 -0.04326 -0.010061
0.006876 0.013491 -0.007213 0.001576 0.0068 0.003561 -0.00379 0.019548 0.043975 -0.04403 -0.033479
-0.029463 0.102829 -0.00641 0.002622 0.032578 0.013226 0.036614 0.076992 -0.000476 0.122409 0.031959
0.014274 0.001811 0.003871 -0.001569 0.004617 0.015918 0.027523 0.006676 -0.00119 0.035038 -0.004795
-0.030723 -0.05 0.011997 0.014667 -0.004596 -0.008775 -0.01875 -0.009395 0.024553 -0.022415 -0.009034
0.001022 0.005707 -0.001694 0.022715 -0.005387 0.015176 0.002275 -0.006416 0.025128 0.009047 0.001823
0.0143 -0.051072 -0.000424 0.015649 0.005803 0.006851 -0.004539 -0.00365 0.000908 -0.033081 -0.097068
0.026787 0.088372 -0.007213 -0.003479 0.06 -0.00897 0.030552 0.020006 -0.005896 0.05036 -0.041881
0.04845 -0.038156 -0.014957 -0.000499 0.015602 -0.010924 -0.021239 0.029006 -0.021442 -0.018569 0.035764
0.009916 -0.022533 -0.009544 -0.011976 -0.013934 -0.001578 -0.003617 -0.006711 -0.01958 -0.056297 -0.029564
-0.005187 -0.01948 -0.010512 -0.002525 0.005797 -0.007269 -0.022686 -0.006757 -0.029957 -0.050945 -0.006977
