Mon Day Year Open High Low Close Volume Adjclose
1 3 1980 105.76 106.08 103.26 105.22 50480000 105.22
1 4 1980 105.22 107.08 105.09 106.52 39130000 106.52
1 7 1980 106.52 107.8 105.8 106.81 44500000 106.81
1 8 1980 106.81 109.29 106.29 108.95 53390000 108.95
1 9 1980 108.95 111.09 108.41 109.05 65260000 109.05
1 10 1980 109.05 110.86 108.47 109.89 55980000 109.89
1 11 1980 109.89 111.16 108.89 109.92 52890000 109.92
1 14 1980 109.92 111.44 109.34 110.38 52930000 110.38
1 15 1980 110.38 111.93 109.45 111.14 52320000 111.14
1 16 1980 111.14 112.9 110.38 111.05 67700000 111.05
1 17 1980 111.05 112.01 109.81 110.7 54170000 110.7
1 18 1980 110.7 111.74 109.88 111.07 47150000 111.07
1 21 1980 111.07 112.9 110.66 112.1 48040000 112.1
1 22 1980 112.1 113.1 110.92 111.51 50620000 111.51
1 23 1980 111.51 113.93 110.93 113.44 50730000 113.44
1 24 1980 113.44 115.27 112.95 113.7 59070000 113.7
1 25 1980 113.7 114.45 112.36 113.61 47100000 113.61
1 28 1980 113.61 115.65 112.93 114.85 53620000 114.85
1 29 1980 114.85 115.77 113.03 114.07 55480000 114.07
1 30 1980 114.07 115.85 113.37 115.2 51170000 115.2
1 31 1980 115.2 117.17 113.78 114.16 65900000 114.16
2 1 1980 114.16 115.54 113.13 115.12 46610000 115.12
2 4 1980 115.12 116.01 113.83 114.37 43070000 114.37
2 5 1980 114.37 115.25 112.15 114.66 41880000 114.66
2 6 1980 114.66 116.57 113.65 115.72 51950000 115.72
2 7 1980 115.72 117.87 115.22 116.28 57690000 116.28
2 8 1980 116.28 118.66 115.72 117.95 57860000 117.95
2 11 1980 117.95 119.05 116.31 117.12 58660000 117.12
2 12 1980 117.12 118.41 115.75 117.9 48090000 117.9
2 13 1980 117.9 120.22 117.57 118.44 65230000 118.44
2 14 1980 118.44 119.3 116.04 116.72 50540000 116.72
2 15 1980 116.7 116.7 114.12 115.41 46680000 115.41
2 19 1980 115.41 115.67 113.35 114.6 39480000 114.6
2 20 1980 114.6 117.18 114.06 116.47 44340000 116.47
2 21 1980 116.47 117.9 114.44 115.28 51530000 115.28
2 22 1980 115.28 116.46 113.43 115.04 48210000 115.04
2 25 1980 114.93 114.93 112.62 113.33 39140000 113.33
2 26 1980 113.33 114.76 112.3 113.98 4e+07 113.98
2 27 1980 113.98 115.12 111.91 112.38 46430000 112.38
2 28 1980 112.38 113.7 111.33 112.35 40330000 112.35
2 29 1980 112.35 114.12 111.77 113.66 38810000 113.66
3 3 1980 113.66 114.34 112.01 112.5 38690000 112.5
3 4 1980 112.5 113.41 110.83 112.78 44310000 112.78
3 5 1980 112.78 113.94 110.58 111.13 49240000 111.13
3 6 1980 111.13 111.29 107.85 108.65 49610000 108.65
3 7 1980 108.65 108.96 105.99 106.9 50950000 106.9
3 10 1980 106.9 107.86 104.92 106.51 43750000 106.51
3 11 1980 106.51 108.54 106.18 107.78 41350000 107.78
3 12 1980 107.78 108.4 105.42 106.87 37990000 106.87
3 13 1980 106.87 107.55 105.1 105.62 33070000 105.62
3 14 1980 105.62 106.49 104.01 105.43 35180000 105.43
3 17 1980 105.23 105.23 101.82 102.26 37020000 102.26
3 18 1980 102.26 104.71 101.14 104.1 47340000 104.1
3 19 1980 104.1 105.72 103.35 104.31 36520000 104.31
3 20 1980 104.31 105.17 102.52 103.12 32580000 103.12
3 21 1980 103.12 103.73 101.55 102.31 32220000 102.31
3 24 1980 102.18 102.18 98.88 99.28 39230000 99.28
3 25 1980 99.28 100.58 97.89 99.19 43790000 99.19
3 26 1980 99.19 101.22 98.1 98.68 37370000 98.68
3 27 1980 98.68 99.58 94.23 98.22 63680000 98.22
3 28 1980 98.22 101.43 97.72 100.68 46720000 100.68
