XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
0.025162 -0.042925 -0.023916 0.108108 -0.050078 -0.031425 -0.012315 0.014118 0.002494 -0.008565 -0.040426 -0.039715
-0.043478 -0.001661 -0.038285 0.02439 -0.011532 -0.015064 0.024938 0.084687 0.057214 0.064795 0.074279 -0.029692
-0.027859 -0.020799 -0.049363 0.166667 -0.056667 -0.021176 0.030414 -0.038503 0.029412 0.036511 0.008256 -0.069945
0.004525 -0.033135 0.018425 -0.030612 0.038869 0.007212 -0.003542 -0.040044 -0.002286 -0.039139 -0.007165 0.014101
-0.004505 0.017575 0.008224 0.073684 0.011905 -0.009547 -0.020142 0 0.001329 -0.01833 0.007216 -0.003476
-0.010558 -0.02418 -0.014682 -0.078431 -0.070588 -0.046988 -0.032648 -0.022016 0.023041 0.004149 -0.001024 0.010465
-0.012195 0.023009 0.028146 0.212766 0.014467 -0.015171 0.00875 -0.020142 0.012387 -0.004132 -0.040984 0.040276
0.009259 0.022491 -0.040258 -0.04386 0.024955 0.011553 -0.012392 0.004837 -0.007786 -0.002075 0.012821 -0.019912
0.012997 -0.043147 0.018456 0.146789 0.008696 -0.011421 -0.02133 0.019254 -0.004484 -0.035343 -0.005274 -0.021445
-0.012075 0.003537 0.018122 -0.056 -0.003448 0.025674 0.033333 0.033058 -0.02027 -0.006466 0.008484 -0.009227
-0.019099 0.01674 0.004854 0.050847 0.020761 -0.011264 -0.012407 -0.013714 -0.008046 -0.023861 -0.001052 -0.018626
-0.014019 0.012998 -0.012882 -0.040323 0.027119 -0.018987 -0.011307 -0.016222 0.033604 -0.028889 0.014737 -0.008304
0.003949 -0.027374 -0.03752 0.016807 0.008251 0.012903 -0.030496 -0.042403 -0.006726 -0.018307 -0.004149 -0.013158
0.010228 0.011434 0.037288 -0.066116 0.021277 0.011465 0.017038 0.03444 -0.025959 0.032634 0.005208 0.072727
0.01947 0.012174 -0.001634 0.044248 0.00641 0 -0.003866 0.015458 -0.002317 0.040632 0.010363 0.057627
-0.002292 0.003436 0.00982 0.025424 0 0.011335 -0.007762 0.002342 -0.036005 0.004338 -0.011282 0.020299
0.01072 0.035103 0.025932 -0.008264 0.020701 0.008717 0.044329 0.009346 -0.013253 0 0.002075 0.013613
-0.018182 -0.032258 -0.006319 -0.083333 -0.028081 0.017284 -0.012484 -0.006944 0.013431 0.021598 0 -0.011364
-0.009877 0.006496 0.001208 0.154909 0.00366 -0.007184 0.015019 0.010723 0.027084 -0.00482 0.007039 -0.017597
0.022195 0.011141 0.016514 0.010076 0.005629 0.015255 0.036867 -0.007934 0.011449 0.004419 0.013158 -0.028591
0.02647 0.007525 0.023244 0.018703 -0.004326 -0.002697 0.016721 0.056351 0.01967 0 0.00487 -0.011738
-0.007843 -0.01107 0.02467 0.031824 -0.004345 -0.021549 0.013143 -0.019366 0.00091 -0.011168 -0.005331 0.00585
-0.005989 -0.002562 0.005483 -0.020166 0.003593 -0.003175 -0.0141 -0.016876 -0.054545 0.015743 -0.007634 0.076842
0.02181 0.003245 -0.025842 -0.041162 0.038875 0.022293 0.008581 -0.016801 0.009615 0.016846 -0.014075 0.02144
-0.005425 0.002156 -0.000243 -0.066919 -0.002954 -0.009151 -0.00416 -0.011887 0.036191 -0.015905 -0.010458 -0.024195
0.005454 -0.001345 0.043087 -0.064953 0.02716 -0.002947 0.007025 0.027444 -0.026654 0.006734 0.001174 0.015928
0.00166 0.0101 -0.023337 0.015919 0.024038 0.007095 -0.019608 -0.043176 0.003777 0.001338 0.004692 -0.015678
0.016095 -0.001733 -0.010275 -0.009972 0.009155 -0.008415 -0.022885 -0.036329 -0.012418 0.002672 -0.002335 -0.038588
-0.001165 0.001603 0.003139 -0.028777 0.023029 0.002566 0.011809 0.060516 0.018289 0.013991 0.006352 0.009735
-0.011311 0.032 0.01083 0.017778 0.025011 -0.015945 0.025481 0.012161 0.014032 -0.0023 -0.002824 -0.008965
-0.010143 -0.002261 0.010357 0.084425 0.001553 0.005801 -0.025038 -0.020333 -0.0369 -0.032269 0.001 -0.027138
-0.017038 0.025974 0.004717 -0.028188 -0.016833 -0.011337 0.044163 -0.018868 -0.001724 0.002042 0.000832 -0.013158
0.018424 -0.009494 0.025587 -0.012431 -0.022302 0.008047 -0.013229 0.006923 0.007868 -0.000679 -0.001829 0.011733
-0.002618 0.00639 0.005951 -0.026573 -0.026267 -0.028537 -0.007742 0.019863 -0.020373 -0.015291 0.001166 -0.005447
-0.003341 0.004698 -0.025711 -0.030172 -0.014434 -0.013558 -0.014272 -0.059738 -0.047619 -0.023464 -0.019967 -0.00212
0.008262 -0.008468 0.000701 -0.02963 0.003361 0.002707 0.007143 -0.010157 0 -0.001413 -0.007131 -0.025142
-0.008431 -0.015296 -0.001167 -0.059542 -0.002393 0.006646 -0.012268 0.01167 0.002449 0.007785 -0.011837 -0.013258
0.003593 0.015534 0.028738 -0.00487 0.005997 0.022901 0.035319 0.015712 0.037256 0.035815 0.000868 0.034235
-0.0179 0.015296 0.004088 -0.001631 -0.022651 0.009883 0 -0.001566 -0.001963 0.005568 0.007979 0.021712
-0.015188 -0.021846 0.002488 -0.004942 0.017321 -0.008588 0.00731 -0.017651 -0.026549 -0.010661 -0.02719 0.031702
0.004318 0.001284 -0.021435 -0.049669 0.036691 -0.001612 -0.012467 -0.034937 -0.021414 0.002155 -0.009376 -0.004052
0.022236 0.000513 0.022135 0.167247 0.023595 0.012308 0.024119 0.011998 0.022089 0.022796 0.016786 0.030514
0.007691 0.026265 -0.015565 0.008955 0.016271 -0.006777 0.038638 -0.011243 -0.027873 -0.032801 0.014226 -0.012996
-0.002982 0.003371 0.00527 0.022189 -0.010451 -0.007225 -0.015943 0.024395 -0.000208 -0.019565 -0.00658 0.0085
0.007297 0.016424 0.019831 0.059334 0.031461 0.035779 0.039604 0.023209 -0.007481 0.015521 0.017082 -0.000165
0.019475 0.004774 0.011846 -0.039617 0.003279 0.009172 -0.007446 0.018738 0.031198 -0.00131 0.014567 0.016529
0.001631 -0.00463 -0.015684 -0.046942 -0.01939 -0.023593 -0.00471 -0.016844 -0.03066 0.006559 -0.00625 -0.008293
-0.025933 -0.040392 -0.007855 -0.079104 -0.040213 -0.053278 -0.064855 -0.048641 -0.005865 -0.061685 -0.024987 -0.021807
-0.005492 0.010842 -0.029857 -0.084279 -0.003472 0.034519 -0.014058 0.010143 0.036241 0.009259 0.000697 -0.012739
-0.007923 -0.053628 -0.015621 0.035398 -0.029036 -0.058443 -0.031559 -0.032787 -0.04636 -0.050459 -0.009582 -0.013582
0.003751 0.01 -0.004974 -0.068376 0.034689 0.046392 -0.017472 0.013771 0.02452 0.035266 -0.003518 -0.00327
-0.015069 -0.05703 -0.011188 -0.077064 -0.024509 -0.017036 -0.003397 -0.019227 -0.014984 -0.022398 -0.015887 -0.03609
-0.005385 0.02268 0.001685 0.075547 0.005926 0.002923 0.01243 0.009589 0.032749 0.050119 0.004664 0.016661
-0.007384 -0.016701 -0.01466 0.072089 0.024505 -0.024568 0.031683 0.010553 -0.037643 -0.046818 -0.008748 0
