date           intc          sp
19730131       0.010050     -0.017111
19730228      -0.139303     -0.037490
19730330       0.069364     -0.001433
19730430       0.086486     -0.040800
19730531      -0.104478     -0.018884
19730629       0.133333     -0.006575
19730731       0.625000      0.037982
19730831       0.117647     -0.036685
19730928       0.234818      0.040096
19731031       0.144262     -0.001291
19731130      -0.240688     -0.113861
19731231       0.188679      0.016569
19740131       0.139683     -0.010046
19740228       0.155989     -0.003624
19740329      -0.163855     -0.023280
19740430       0.162824     -0.039051
19740531       0.148699     -0.033551
19740628      -0.148867     -0.014665
19740731      -0.448669     -0.077791
19740830      -0.151724     -0.090279
19740930      -0.390244     -0.119335
19741031       0.613333      0.163047
19741129      -0.115702     -0.053180
19741231      -0.140187     -0.020151
19750131       0.336957      0.122812
19750228       0.463415      0.059886
19750331       0.183333      0.021694
19750430       0.244131      0.047265
19750530       0.045283      0.044101
19750630       0.018051      0.044323
19750731      -0.120567     -0.067654
19750829       0.112903     -0.021070
19750930       0.083333     -0.034645
19751031      -0.026756      0.061643
19751128       0.020619      0.024708
19751231      -0.013468     -0.011508
19760130       0.170648      0.118306
19760227       0.093294     -0.011402
19760331       0.170667      0.030689
19760430      -0.033030     -0.010995
19760528      -0.014134     -0.014364
19760630      -0.021505      0.040926
19760730      -0.036630     -0.008055
19760831      -0.068441     -0.005124
19760930      -0.008163      0.022641
19761029      -0.098765     -0.022235
19761130       0.036530     -0.007775
19761231       0.052863      0.052498
19770131      -0.100418     -0.050530
19770228       0.009302     -0.021660
19770331      -0.129032     -0.014025
19770429      -0.105820      0.000203
19770531       0.023669     -0.023568
19770630       0.150289      0.045360
19770729       0.000000     -0.016222
19770831      -0.050251     -0.021042
19770930       0.042328     -0.002480
19771031      -0.111675     -0.043406
19771130       0.057143      0.026966
19771230      -0.010811      0.002847
19780131      -0.010929     -0.061514
19780228      -0.121547     -0.024762
19780331       0.062893      0.024931
19780428       0.236686      0.085416
19780531       0.066986      0.004234
19780630       0.071749     -0.017585
19780731       0.124477      0.053910
19780831       0.046512      0.025924
19780929      -0.026667     -0.007261
19781031      -0.136986     -0.091574
19781130       0.052910      0.016640
19781229       0.010050      0.014889
19790131       0.089552      0.039746
19790228       0.045662     -0.036526
19790330       0.131004      0.055152
19790430       0.025097      0.001673
19790531       0.050847     -0.026336
19790629       0.112903      0.038656
19790731      -0.028986      0.008746
19790831       0.139303      0.053078
19790928       0.091703      0.000000
19791031      -0.004000     -0.068606
19791130       0.108434      0.042624
19791231      -0.014493      0.016767
19800131       0.007353      0.057625
19800229       0.051095     -0.004380
19800331      -0.135417     -0.101795
19800430      -0.008032      0.041140
19800530       0.109312      0.046571
19800630      -0.032847      0.026969
19800731       0.283019      0.065039
19800829       0.030882      0.005835
19800930       0.018545      0.025168
19801031      -0.056022      0.016021
19801128       0.109792      0.102377
19801231      -0.133690     -0.033874
19810130      -0.077160     -0.045742
19810227      -0.060201      0.013277
19810331       0.035587      0.036033
19810430       0.041237     -0.023456
19810529       0.085809     -0.001657
19810630      -0.121581     -0.010408
19810731      -0.062284     -0.002210
19810831      -0.169742     -0.062099
19810930      -0.133333     -0.053832
19811030       0.174359      0.049148
19811130      -0.122271      0.036590
19811231      -0.099502     -0.030075
19820129       0.154696     -0.017544
19820226      -0.019139     -0.060548
19820331       0.126829     -0.010167
19820430       0.095238      0.040014
19820528      -0.035573     -0.039162
19820630       0.028689     -0.020290
19820730       0.031873     -0.022991
19820831       0.138996      0.115977
19820930      -0.108475      0.007614
19821029       0.129278      0.110364
19821130       0.030303      0.036123
19821231       0.013072      0.015158
19830131       0.109677      0.033134
19830228       0.081395      0.018995
19830331       0.037634      0.033095
19830429       0.025907      0.074922
19830531       0.156566     -0.012346
19830630       0.301310      0.035224
19830729       0.080537     -0.033014
19830831       0.018634      0.011319
19830930       0.006098      0.010158
19831031      -0.084848     -0.015174
19831130       0.105960      0.017426
19831230       0.005988     -0.008834
19840131      -0.125000     -0.009216
19840229       0.013605     -0.038859
19840330      -0.033557      0.013498
19840430      -0.027778      0.005466
19840531      -0.117857     -0.059356
19840629      -0.020243      0.017469
19840731       0.008264     -0.016451
19840831       0.180328      0.106332
19840928      -0.138889     -0.003480
19841031      -0.104839     -0.000060
19841130       0.027027     -0.015112
19841231      -0.017544      0.022374
19850131       0.098214      0.074085
19850228      -0.089431      0.008685
19850329      -0.008929     -0.002925
19850430      -0.009009     -0.004594
19850531      -0.040909      0.054051
19850628      -0.014218      0.012134
19850731       0.086538     -0.004848
19850830      -0.079646     -0.011995
19850930      -0.009615     -0.034724
19851031      -0.009709      0.042509
19851129       0.117647      0.065062
19851231       0.026316      0.045061
19860131      -0.034188      0.002367
19860228      -0.017699      0.071489
19860331      -0.063063      0.052794
19860430       0.096154     -0.014148
19860530      -0.043860      0.050229
19860630      -0.155963      0.014110
19860731      -0.206522     -0.058683
19860829       0.260274      0.071193
19860930      -0.152174     -0.085439
19861031       0.038462      0.054729
19861128       0.135802      0.021477
19861231      -0.086957     -0.028288
19870130       0.488095      0.131767
19870227       0.216000      0.036924
19870331       0.032895      0.026390
19870430       0.197452     -0.011450
19870529      -0.066489      0.006034
19870630       0.002849      0.047915
19870731       0.085227      0.048224
19870831       0.104712      0.034959
19870930       0.094787     -0.024166
19871030      -0.324675     -0.217630
19871130      -0.173077     -0.085349
