Mon Day Year Open High Low Close Volume Adjclose
1 3 1967 80.33 88.17 79.43 86.61 10426100 86.61
2 1 1967 86.61 89 85.61 86.78 10153600 86.78
3 1 1967 86.78 91.72 86.67 90.2 10580400 90.2
4 3 1967 90.2 94.77 87.86 94.01 9942500 94.01
5 1 1967 94.01 95.25 88.71 89.08 10331300 89.08
6 1 1967 89.08 93.28 87.19 90.64 10020000 90.64
7 3 1967 90.64 95.51 90.12 94.75 11353000 94.75
8 1 1967 94.75 96.67 92.01 93.64 9419100 93.64
9 1 1967 93.64 98.31 93 96.71 10733500 96.71
10 2 1967 96.71 98.25 93.29 93.3 10763600 93.3
11 1 1967 93.3 95.51 90.09 94 11014500 94
12 1 1967 94 96.9 93.41 96.47 12220500 96.47
1 2 1968 96.47 97.84 91.27 92.24 12371800 92.24
2 1 1968 92.24 93.44 86.73 89.36 9583100 89.36
3 1 1968 89.36 91.09 86.99 90.2 9600400 90.2
4 1 1968 91.11 98.61 91.11 97.46 15490000 97.46
5 1 1968 97.46 100.19 95.8 98.68 13866800 98.68
6 3 1968 98.72 102.84 98.72 99.58 15842900 99.58
7 1 1968 99.58 103.67 96.84 97.74 14864700 97.74
8 1 1968 97.74 99.67 95.79 98.86 11231100 98.86
9 3 1968 98.86 103.63 98.31 102.67 14230000 102.67
10 1 1968 102.67 105.78 101.8 103.41 16102700 103.41
11 1 1968 103.41 109.09 101.85 108.37 15661100 108.37
12 2 1968 108.37 109.37 102.98 103.86 15589400 103.86
1 2 1969 103.86 104.87 96.63 103.01 12664500 103.01
2 3 1969 103.01 104.61 97.36 98.13 12026600 98.13
3 3 1969 98.13 102.35 97.06 101.51 10577000 101.51
4 1 1969 101.51 104.56 99.08 103.69 12203800 103.69
5 1 1969 103.69 106.74 102.29 103.46 12778500 103.46
6 2 1969 103.46 103.75 95.21 97.71 11608000 97.71
7 1 1969 97.71 100.33 88.04 91.83 11543300 91.83
8 1 1969 91.92 96.43 91.48 95.51 10025200 95.51
9 2 1969 95.51 96.62 91.77 93.12 10872800 93.12
10 1 1969 93.12 98.83 91.66 97.12 14052600 97.12
11 3 1969 97.12 99.23 92.24 93.81 11692100 93.81
12 1 1969 93.81 94.47 88.62 92.06 13260400 92.06
1 2 1970 92.06 94.25 84.42 85.02 11114700 85.02
2 2 1970 85.02 90.33 84.64 89.5 12698400 89.5
3 2 1970 89.5 91.07 86.19 89.63 10535700 89.63
4 1 1970 89.63 90.7 79.31 81.52 10590900 81.52
5 1 1970 81.52 82.32 68.61 76.55 12992800 76.55
6 1 1970 76.55 79.96 72.25 72.72 10713600 72.72
7 1 1970 72.72 79.03 70.69 78.05 10880900 78.05
8 3 1970 78.05 82.47 74.13 81.52 10925200 81.52
9 1 1970 81.52 84.99 79.95 84.3 15148500 84.3
10 1 1970 84.3 87.75 82.29 83.25 12358600 83.25
11 2 1970 83.25 87.6 82.23 87.2 12399500 87.2
12 1 1970 87.2 92.99 86.11 92.15 15846800 92.15
1 4 1971 92.15 96.49 90.64 95.88 18472500 95.88
2 1 1971 95.88 99.59 94.92 96.75 20444200 96.75
3 1 1971 96.75 102.03 96.11 100.31 17716900 100.31
4 1 1971 100.31 105.6 99.63 103.95 19955700 103.95
5 3 1971 103.95 104.42 98.68 99.63 15956000 99.63
6 1 1971 99.63 102.07 96.92 98.7 14500000 98.7
7 1 1971 99.16 101.52 95.08 95.58 13248000 95.58
8 2 1971 95.58 101.51 92.81 99.03 15043100 99.03
9 1 1971 99.03 102.25 96.97 98.34 12676600 98.34
10 1 1971 98.34 100.96 92.96 94.23 13894700 94.23
11 1 1971 94.23 96.08 89.34 93.99 14034700 93.99
12 1 1971 93.99 102.21 93.95 102.09 17805400 102.09
1 3 1972 102.09 105 100.87 103.94 18940000 103.94
2 1 1972 103.94 107.16 103.1 106.57 19829000 106.57
3 1 1972 106.57 109.75 105.86 107.2 19000400 107.2
4 3 1972 107.2 111.11 106.18 107.67 19107500 107.67
5 1 1972 107.67 111.48 103.83 109.53 15958100 109.53
6 1 1972 109.53 110.51 105.94 107.14 14880400 107.14
7 3 1972 107.14 110.27 104.43 107.39 15001000 107.39
8 1 1972 107.39 113.45 107.06 111.09 16055200 111.09
9 1 1972 111.09 112.12 107.35 110.55 13122000 110.55
10 2 1972 110.55 112.26 106.27 111.58 15125000 111.58
11 1 1972 111.58 117.91 111.32 116.67 21245500 116.67
12 1 1972 116.67 119.79 114.63 118.05 19593600 118.05
1 2 1973 118.06 121.74 114.97 116.03 19458000 116.03
2 1 1973 116.03 118.98 109.8 111.68 17691500 111.68
3 1 1973 111.68 115.61 107.41 111.52 16233600 111.52
4 2 1973 111.52 113.65 105.44 106.97 14640500 106.97
5 1 1973 106.97 112.25 101.36 104.95 15884000 104.95
6 1 1973 104.95 109.52 101.45 104.26 13308000 104.26
7 2 1973 104.1 111.04 100.44 108.22 15300400 108.22
8 1 1973 108.17 108.17 99.74 104.25 12390800 104.25
9 4 1973 104.25 110.45 102.13 108.43 18177300 108.43
10 1 1973 108.43 112.82 107.08 108.29 19164700 108.29
11 1 1973 108.29 109.2 94.88 95.96 19775200 95.96
12 3 1973 95.83 99.09 91.05 97.55 20392500 97.55
1 2 1974 97.55 100.94 91.62 96.57 17144000 96.57
2 1 1974 96.57 97.43 89.53 96.22 14236300 96.22
3 1 1974 96.22 101.05 93.44 93.98 15321400 93.98
4 1 1974 93.98 95.42 88.62 90.31 12630900 90.31
5 1 1974 90.31 93.59 85.87 87.28 12998100 87.28
6 3 1974 87.28 93.76 85.13 86 12867500 86
7 1 1974 86 86.89 78.96 79.31 12956800 79.31
8 1 1974 79.31 83.53 69.37 72.15 13469500 72.15
9 3 1974 72.15 73.01 62.52 63.54 14752500 63.54
10 1 1974 63.54 75.9 60.96 73.9 17214700 73.9
11 1 1974 73.9 77.41 66.85 69.97 14709500 69.97
12 2 1974 69.8 69.8 64.13 68.56 16005700 68.56
1 2 1975 68.65 78.69 68.65 76.98 20781300 76.98
2 3 1975 76.98 83.56 76 81.59 23221000 81.59
3 3 1975 81.59 87.08 80.08 83.36 23494000 83.36
4 1 1975 83.36 88.79 79.66 87.3 21336800 87.3
5 1 1975 87.3 93.51 86.94 91.15 22864700 91.15
6 2 1975 91.32 95.85 89.3 95.19 22210900 95.19
7 1 1975 95.19 96.58 87.68 88.75 20737200 88.75
8 1 1975 88.75 89.04 82.21 86.88 14140400 86.88
9 2 1975 86.88 87.42 81.57 83.87 13697100 83.87
10 1 1975 83.87 91.75 82.57 89.04 16454300 89.04
11 3 1975 89.04 92.33 87.63 91.24 17456800 91.24
12 1 1975 91.24 91.9 86.15 90.19 16633600 90.19
1 2 1976 90.19 101.99 89.81 100.86 32111400 100.86
2 2 1976 100.86 103.07 98.5 99.71 32793100 99.71
3 1 1976 99.71 104.39 98.23 102.77 23787800 102.77
4 1 1976 102.77 104.63 99.57 101.64 19370900 101.64
5 3 1976 101.64 103.99 98.26 100.18 18638500 100.18
6 1 1976 100.18 105.07 97.97 104.28 20048100 104.28
7 1 1976 104.28 106.78 102.31 103.44 19456600 103.44
8 2 1976 103.44 105.41 100.43 102.91 16461800 102.91
9 1 1976 102.91 108.72 102.6 105.24 20450000 105.24
10 1 1976 105.24 105.75 99.21 102.9 18020000 102.9
11 1 1976 102.9 103.78 98.18 102.1 19902500 102.1
12 1 1976 102.1 107.82 101.62 107.46 25169000 107.46
1 3 1977 107.46 107.97 100.91 102.03 24978000 102.03
2 1 1977 102.03 103.32 98.82 99.82 21824200 99.82
