year mon dd rate w1m1 w2m1 w3m1 w4m1 icm1
1967 2 1 3.8 208 207 217 204 836
1967 3 1 3.8 216 229 229 242 916
1967 4 1 3.8 310 241 245 247 1043
1967 5 1 3.8 259 257 299 245 1315
1967 6 1 3.9 254 231 230 228 943
1967 7 1 3.8 248 238 224 218 928
1967 8 1 3.8 209 240 241 240 1139
1967 9 1 3.8 221 202 215 213 851
1967 10 1 4 218 231 220 209 1082
1967 11 1 3.9 231 206 223 207 867
1967 12 1 3.8 222 214 198 191 825
1968 1 1 3.7 196 221 204 219 1056
1968 2 1 3.8 222 222 221 198 863
1968 3 1 3.7 244 210 196 193 843
1968 4 1 3.5 190 204 190 200 976
1968 5 1 3.5 191 171 183 251 796
1968 6 1 3.7 209 194 199 194 796
1968 7 1 3.7 199 192 194 189 968
1968 8 1 3.5 214 186 180 205 785
1968 9 1 3.4 206 218 192 193 997
1968 10 1 3.4 189 195 191 189 764
1968 11 1 3.4 185 186 191 182 744
1968 12 1 3.4 181 183 192 199 917
1969 1 1 3.4 188 195 192 223 798
1969 2 1 3.4 190 191 192 193 766
1969 3 1 3.4 203 197 192 192 784
1969 4 1 3.4 201 191 189 181 945
1969 5 1 3.4 182 190 187 177 736
1969 6 1 3.5 177 183 179 180 906
1969 7 1 3.5 192 182 191 203 768
1969 8 1 3.5 227 210 206 192 835
1969 9 1 3.7 196 203 199 199 992
1969 10 1 3.7 182 209 195 193 779
1969 11 1 3.5 193 200 199 205 797
1969 12 1 3.5 198 211 197 217 1025
1970 1 1 3.9 202 222 232 223 879
1970 2 1 4.2 230 242 268 256 1235
1970 3 1 4.4 256 265 271 242 1034
1970 4 1 4.6 262 271 264 276 1073
1970 5 1 4.8 273 305 374 349 1301
1970 6 1 4.9 334 318 303 296 1552
1970 7 1 5 301 298 296 291 1186
1970 8 1 5.1 277 288 294 287 1146
1970 9 1 5.4 261 266 300 303 1427
1970 10 1 5.5 324 292 325 333 1274
1970 11 1 5.9 350 327 334 330 1668
1970 12 1 6.1 336 314 314 337 1301
1971 1 1 5.9 308 306 289 321 1224
1971 2 1 5.9 303 288 299 312 1494
1971 3 1 6 296 282 268 290 1136
1971 4 1 5.9 297 287 291 300 1175
1971 5 1 5.9 299 279 284 288 1150
1971 6 1 5.9 290 293 284 295 1461
1971 7 1 6 301 295 299 291 1186
1971 8 1 6.1 277 264 313 304 1466
1971 9 1 6 349 325 320 307 1301
1971 10 1 5.8 359 312 302 308 1281
1971 11 1 6 299 313 299 294 1488
1971 12 1 6 301 295 274 278 1148
1972 1 1 5.8 299 280 269 244 1092
1972 2 1 5.7 279 295 250 263 1356
1972 3 1 5.8 276 266 258 254 1054
1972 4 1 5.7 257 264 266 264 1051
1972 5 1 5.7 258 274 259 259 1315
1972 6 1 5.7 271 266 267 267 1071
1972 7 1 5.6 264 268 275 286 1093
1972 8 1 5.6 350 297 318 276 1488
1972 9 1 5.5 250 246 256 262 1014
1972 10 1 5.6 258 259 258 255 1281
1972 11 1 5.3 263 250 257 234 1004
1972 12 1 5.2 255 242 271 235 1003
1973 1 1 4.9 226 252 263 246 1212
1973 2 1 5 226 245 229 214 914
1973 3 1 4.9 228 226 216 218 888
1973 4 1 5 225 229 228 232 1136
1973 5 1 4.9 247 230 243 236 956
1973 6 1 4.9 248 238 237 238 961
1973 7 1 4.8 232 246 237 242 1194
1973 8 1 4.8 248 232 241 250 971
1973 9 1 4.8 256 265 258 254 1033
1973 10 1 4.6 242 252 245 246 1234
1973 11 1 4.8 236 246 249 235 966
1973 12 1 4.9 246 282 254 233 1015
1974 1 1 5.1 256 266 272 326 1420
1974 2 1 5.2 269 340 321 291 1221
1974 3 1 5.1 302 369 311 292 1274
1974 4 1 5.1 301 305 315 314 1558
1974 5 1 5.1 296 297 296 283 1172
1974 6 1 5.4 287 296 298 309 1190
1974 7 1 5.5 278 314 303 308 1528
1974 8 1 5.5 311 304 303 320 1238
1974 9 1 5.9 335 347 332 343 1707
1974 10 1 6 350 357 370 366 1443
1974 11 1 6.6 371 413 389 414 1587
1974 12 1 7.2 406 441 449 518 2288
1975 1 1 8.1 528 510 521 537 2096
1975 2 1 8.1 456 554 575 555 2140
1975 3 1 8.6 559 545 530 544 2178
1975 4 1 8.8 546 551 531 550 2733
1975 5 1 9 537 520 531 513 2101
1975 6 1 8.8 505 507 514 493 2494
1975 7 1 8.6 529 497 497 459 1982
1975 8 1 8.4 423 446 445 454 1768
1975 9 1 8.4 454 459 444 457 2260
1975 10 1 8.4 447 456 433 445 1781
1975 11 1 8.3 426 429 404 426 1685
1975 12 1 8.2 414 415 386 401 2003
1976 1 1 7.9 373 368 365 391 1497
1976 2 1 7.7 362 402 370 363 1856
1976 3 1 7.6 353 344 347 349 1393
1976 4 1 7.7 348 360 368 366 1442
1976 5 1 7.4 380 373 361 367 1481
1976 6 1 7.6 385 395 382 394 1958
1976 7 1 7.8 382 407 399 387 1575
1976 8 1 7.8 394 372 406 394 1954
1976 9 1 7.6 378 382 400 394 1554
1976 10 1 7.7 421 383 403 423 1630
1976 11 1 7.8 408 411 403 409 2045
1976 12 1 7.8 390 383 408 377 1558
1977 1 1 7.5 402 395 365 333 1495
1977 2 1 7.6 380 416 368 423 2009
1977 3 1 7.4 565 477 399 362 1803
1977 4 1 7.2 361 355 369 356 1441
1977 5 1 7 350 376 361 375 1837
1977 6 1 7.2 384 381 375 381 1521
1977 7 1 6.9 363 358 359 365 1445
1977 8 1 7 350 361 366 365 1807
1977 9 1 6.8 378 359 367 365 1469
1977 10 1 6.8 374 359 362 380 1475
1977 11 1 6.8 348 365 358 375 1795
1977 12 1 6.4 366 334 360 354 1414
1978 1 1 6.4 367 364 359 344 1798
1978 2 1 6.3 346 343 352 363 1404
1978 3 1 6.3 360 373 429 371 1533
1978 4 1 6.1 355 359 347 335 1396
1978 5 1 6 333 345 309 319 1630
1978 6 1 5.9 334 322 334 318 1308
1978 7 1 6.2 310 331 326 330 1297
1978 8 1 5.9 348 356 352 349 1751
1978 9 1 6 365 354 343 333 1395
1978 10 1 5.8 313 337 322 323 1613
1978 11 1 5.9 343 316 338 316 1313
1978 12 1 6 317 304 342 359 1322
1979 1 1 5.9 377 344 347 352 1778
1979 2 1 5.9 359 392 337 342 1430
1979 3 1 5.8 348 359 367 360 1434
1979 4 1 5.8 355 363 359 353 1790
1979 5 1 5.6 465 457 383 357 1662
1979 6 1 5.7 353 344 346 349 1392
1979 7 1 5.7 336 365 351 379 1800
1979 8 1 6 368 368 395 386 1517
1979 9 1 5.9 412 386 387 390 1575
1979 10 1 6 389 378 384 388 1929
1979 11 1 5.9 412 393 406 398 1609
1979 12 1 6 395 414 430 414 1653
1980 1 1 6.3 416 415 411 471 2141
1980 2 1 6.3 394 405 446 412 1657
1980 3 1 6.3 404 425 415 428 1672
1980 4 1 6.9 409 418 432 435 2169
1980 5 1 7.5 464 544 548 563 2119
1980 6 1 7.6 572 601 642 627 3079
1980 7 1 7.8 610 592 599 627 2428
1980 8 1 7.7 579 533 567 558 2237
